clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50-64 años,65+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto,Capital,Interior,A.Kirchner,Belloni,Vidal,Costa,Otro Nueva Santa Cruz,Peralta
Javier Belloni por el Frente de Todos,0.135,0.138,0.131,0.18,0.119,0.088,0.127,0.102,0.15,0.143,0.054,0.18,0.13,0.442,0.059,0,0.029,0.069
Pablo Grasso por el Frente de Todos,0.165,0.152,0.178,0.173,0.187,0.108,0.135,0.118,0.197,0.152,0.265,0.108,0.31,0.157,0.091,0.022,0.045,0.027
Pablo González por el Frente de Todos,0.05,0.059,0.04,0.03,0.052,0.076,0.063,0.042,0.037,0.09,0.058,0.045,0.103,0.046,0.027,0.013,0.005,0.072
Fernando Cotillo por el Frente de Todos,0.034,0.045,0.023,0.018,0.041,0.044,0.042,0.084,0.013,0.017,0.037,0.032,0.061,0.036,0,0.003,0.043,0
Eduardo Costa por Cambia Santa Cruz,0.135,0.152,0.118,0.136,0.108,0.183,0.174,0.165,0.116,0.141,0.171,0.115,0.065,0.106,0.065,0.486,0.144,0.122
Roxana Reyes por Cambia Santa Cruz,0.135,0.134,0.137,0.166,0.108,0.143,0.14,0.114,0.14,0.155,0.095,0.159,0.065,0.101,0.223,0.226,0.283,0.121
Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER,0.156,0.14,0.172,0.109,0.185,0.186,0.128,0.168,0.155,0.139,0.117,0.178,0.116,0.049,0.383,0.119,0.157,0.135
No sabe,0.19,0.18,0.201,0.188,0.2,0.172,0.191,0.207,0.192,0.163,0.203,0.183,0.15,0.063,0.152,0.131,0.294,0.454
