"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P06","Del Frente de Todos y el peronismo",0.496,0.286,0.197,0.265
"P06","De Juntos por el cambio",0.073,0.18,0.341,0.126
"P06","De los Liberales libertarios",0.19,0.22,0.227,0.151
"P06","De la Izquierda",0.043,0.086,0.058,0.01
"P06","No sabe",0.198,0.228,0.177,0.448
"P07","A Alberto Fernández",0.327,0.147,0.242,0.392
"P07","A Sergio Massa",0.124,0.078,0.008,0.242
"P07","A algún candidato del peronismo",0.149,0.243,0.456,0.272
"P07","A algún candidato del kirchnerismo",0.4,0.532,0.294,0.094
"P08","A Alberto Fernández",0.1,0.035,0.235,0.392
"P08","A Sergio Massa",0.175,0.064,0,0.484
"P08","A algún candidato del peronismo",0.16,0.161,0.288,0.03
"P08","A Cristina Fernández de Kirchner",0.565,0.74,0.477,0.094
"P09","A Horacio Rodriguez Larreta",0.595,0.131,0.154,0
"P09","A Mauricio Macri",0.154,0.151,0.317,0.869
"P09","A Patricia Bullrich",0.077,0.492,0.3,0.111
"P09","A Facundo Manes",0.102,0.16,0.042,0.02
"P09","A Gerardo Morales",0.072,0.066,0.187,0
"P10","Eduardo Costa por Cambia Santa Cruz",0.028,0.105,0.226,0.136
"P10","Máximo Kirchner por el Frente de Todos",0.143,0.095,0.107,0.133
"P10","Pablo Grasso por el Frente de Todos",0.164,0.141,0.162,0.17
"P10","Javier Belloni por el Frente de Todos",0.319,0.055,0.016,0.017
"P10","Pablo González por el Frente de Todos",0.067,0.021,0.021,0
"P10","Fernando Cotillo por el Frente de Todos",0.029,0.02,0.007,0
"P10","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.185,0.248,0.211,0.202
"P10","Roxana Reyes por Cambia Santa Cruz",0.016,0.081,0.119,0.095
"P10","No sabe",0.049,0.234,0.131,0.247
"P11","Eduardo Costa por Cambia Santa Cruz",0.033,0.152,0.225,0.105
"P11","Pablo Grasso por el Frente de Todos",0.231,0.128,0.144,0.128
"P11","Javier Belloni por el Frente de Todos",0.29,0.05,0.006,0
"P11","Alicia Kirchner por el Frente de Todos",0.107,0.095,0.07,0.094
"P11","Pablo González por el Frente de Todos",0.071,0.024,0.012,0.062
"P11","Fernando Cotillo por el Frente de Todos",0.009,0.045,0.01,0.018
"P11","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.192,0.193,0.211,0.239
"P11","Roxana Reyes por Cambia Santa Cruz",0.034,0.067,0.181,0.078
"P11","No sabe",0.033,0.246,0.141,0.276
"P12","Eduardo Costa por Cambia Santa Cruz",0.04,0.136,0.256,0.015
"P12","Javier Belloni por el Frente de Todos",0.33,0.068,0.013,0.097
"P12","Pablo Grasso por el Frente de Todos",0.205,0.168,0.145,0.22
"P12","Pablo González por el Frente de Todos",0.107,0.049,0.008,0.01
"P12","Fernando Cotillo por el Frente de Todos",0.03,0.023,0.033,0.032
"P12","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.121,0.183,0.187,0.185
"P12","Roxana Reyes por Cambia Santa Cruz",0.098,0.152,0.151,0.13
"P12","No sabe",0.069,0.221,0.207,0.311
"P13","Lo votaría",0.219,0.136,0.119,0.142
"P13","Puede que lo vote",0.22,0.137,0.07,0.079
"P13","Nunca lo votaría",0.515,0.598,0.748,0.452
"P13","No sabe",0.046,0.129,0.063,0.327
"P14","Lo votaría",0.273,0.124,0.085,0.189
"P14","Puede que lo vote",0.208,0.088,0.063,0.192
"P14","Nunca lo votaría",0.438,0.655,0.791,0.361
"P14","No sabe",0.081,0.133,0.061,0.258
"P15","Lo votaría",0.122,0.149,0.238,0.145
"P15","Puede que lo vote",0.141,0.133,0.193,0.031
"P15","Nunca lo votaría",0.628,0.572,0.491,0.265
"P15","No sabe",0.109,0.146,0.078,0.559
"P16","Lo votaría",0.219,0.229,0.252,0.245
"P16","Puede que lo vote",0.241,0.168,0.094,0.158
"P16","Nunca lo votaría",0.457,0.532,0.606,0.205
"P16","No sabe",0.083,0.071,0.048,0.392
