"var","categoria","Eduardo Costa por Cambia Santa Cruz","Máximo Kirchner por el Frente de Todos","Pablo Grasso por el Frente de Todos","Javier Belloni por el Frente de Todos","Pablo González por el Frente de Todos","Fernando Cotillo por el Frente de Todos","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER","Roxana Reyes por Cambia Santa Cruz","No sabe"
"P06","Del Frente de Todos y el peronismo",0.047,0.714,0.559,0.391,0.503,0.506,0.149,0.023,0.074
"P06","De Juntos por el cambio",0.624,0.065,0.106,0.065,0.093,0.076,0.104,0.582,0.102
"P06","De los Liberales libertarios",0.127,0.084,0.15,0.244,0.06,0,0.288,0.25,0.25
"P06","De la Izquierda",0.048,0.034,0.034,0.017,0.012,0.091,0.075,0.038,0.072
"P06","No sabe",0.154,0.103,0.151,0.283,0.332,0.327,0.384,0.107,0.502
"P07","A Alberto Fernández",0.431,0.38,0.294,0.324,0.178,0.446,0.274,0.86,0.132
"P07","A Sergio Massa",0.172,0.094,0.115,0.051,0.09,0.078,0.103,0,0.112
"P07","A algún candidato del peronismo",0.156,0.164,0.263,0.175,0.289,0.131,0.349,0,0.464
"P07","A algún candidato del kirchnerismo",0.241,0.362,0.328,0.45,0.443,0.345,0.274,0.14,0.292
"P08","A Alberto Fernández",0.469,0.23,0.161,0.141,0.023,0,0.234,0.86,0.082
"P08","A Sergio Massa",0.121,0.183,0.148,0.12,0.091,0.078,0.036,0,0.112
"P08","A algún candidato del peronismo",0.156,0.06,0.152,0.169,0.144,0.577,0.286,0,0.322
"P08","A Cristina Fernández de Kirchner",0.254,0.527,0.539,0.57,0.742,0.345,0.444,0.14,0.484
"P09","A Horacio Rodriguez Larreta",0.203,0.342,0.491,0.093,0,1,0.306,0.175,0.077
"P09","A Mauricio Macri",0.26,0.042,0.416,0.425,0,0,0.269,0.277,0.575
"P09","A Patricia Bullrich",0.244,0.58,0.021,0.417,0.219,0,0.378,0.417,0.128
"P09","A Facundo Manes",0.09,0.036,0.044,0.065,0,0,0,0.08,0.178
"P09","A Gerardo Morales",0.203,0,0.028,0,0.781,0,0.047,0.051,0.042
"P11","Eduardo Costa por Cambia Santa Cruz",0.811,0.088,0.05,0.017,0.028,0,0.014,0.12,0.052
"P11","Pablo Grasso por el Frente de Todos",0.014,0.191,0.691,0.136,0,0.411,0.032,0,0.028
"P11","Javier Belloni por el Frente de Todos",0.018,0.103,0.041,0.628,0,0,0.017,0,0.023
"P11","Alicia Kirchner por el Frente de Todos",0.006,0.438,0.106,0.057,0.066,0.066,0.018,0,0.049
"P11","Pablo González por el Frente de Todos",0,0.066,0,0.01,0.766,0,0,0.005,0.025
"P11","Fernando Cotillo por el Frente de Todos",0.012,0.004,0,0.008,0,0.462,0.025,0.005,0
"P11","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.013,0.048,0.045,0.07,0.04,0,0.751,0.052,0.036
"P11","Roxana Reyes por Cambia Santa Cruz",0.086,0,0.015,0.024,0.059,0.046,0.053,0.811,0.019
"P11","No sabe",0.04,0.062,0.052,0.05,0.041,0.015,0.09,0.007,0.768
"P12","Eduardo Costa por Cambia Santa Cruz",0.791,0.094,0.026,0.037,0.055,0,0.004,0.136,0.044
"P12","Javier Belloni por el Frente de Todos",0.028,0.148,0.062,0.72,0.014,0.228,0.011,0.014,0.046
"P12","Pablo Grasso por el Frente de Todos",0.012,0.313,0.733,0.035,0.089,0.224,0.046,0.008,0.015
"P12","Pablo González por el Frente de Todos",0.002,0.126,0.042,0.086,0.41,0,0.012,0,0.006
"P12","Fernando Cotillo por el Frente de Todos",0.006,0.103,0,0,0.322,0.438,0.006,0,0
"P12","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.03,0.083,0.083,0.022,0,0.11,0.531,0.066,0.027
"P12","Roxana Reyes por Cambia Santa Cruz",0.069,0.008,0.009,0.048,0.06,0,0.305,0.588,0.067
"P12","No sabe",0.062,0.125,0.045,0.052,0.05,0,0.085,0.188,0.795
"P13","Lo votaría",0.152,0.79,0.147,0.108,0.192,0.153,0.017,0.033,0.059
"P13","Puede que lo vote",0.082,0.119,0.211,0.201,0.36,0.166,0.08,0,0.131
"P13","Nunca lo votaría",0.745,0.069,0.522,0.512,0.378,0.636,0.782,0.936,0.61
