"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Pablo González","Positiva",0.152,0.156,0.147,0.113,0.155,0.21,0.169,0.138,0.133,0.218,0.161,0.147,0.326,0.188,0.021,0.051,0.01,0
"Pablo González","Neutra",0.384,0.392,0.375,0.416,0.389,0.331,0.333,0.365,0.409,0.348,0.335,0.411,0.401,0.468,0.386,0.326,0.389,0.43
"Pablo González","Negativa",0.323,0.316,0.332,0.346,0.292,0.366,0.312,0.326,0.317,0.336,0.407,0.276,0.188,0.247,0.412,0.559,0.454,0.398
"Pablo González","No sabe",0.141,0.136,0.146,0.125,0.164,0.093,0.186,0.171,0.141,0.098,0.097,0.166,0.085,0.097,0.181,0.064,0.147,0.172
"Javier Belloni","Positiva",0.319,0.342,0.293,0.321,0.33,0.299,0.29,0.282,0.304,0.406,0.255,0.355,0.389,0.652,0.287,0.058,0.116,0.154
"Javier Belloni","Neutra",0.26,0.279,0.24,0.177,0.294,0.35,0.223,0.266,0.271,0.223,0.255,0.263,0.281,0.148,0.271,0.215,0.361,0.13
"Javier Belloni","Negativa",0.329,0.329,0.331,0.418,0.285,0.286,0.291,0.303,0.344,0.329,0.364,0.309,0.216,0.187,0.408,0.672,0.273,0.7
"Javier Belloni","No sabe",0.092,0.05,0.136,0.084,0.091,0.065,0.196,0.149,0.081,0.042,0.126,0.073,0.114,0.013,0.034,0.055,0.25,0.016
"Claudio Vidal","Positiva",0.312,0.337,0.286,0.303,0.325,0.319,0.268,0.36,0.308,0.254,0.254,0.345,0.312,0.258,0.673,0.158,0.151,0.279
"Claudio Vidal","Neutra",0.257,0.262,0.252,0.235,0.265,0.288,0.244,0.206,0.281,0.271,0.223,0.277,0.26,0.365,0.153,0.277,0.291,0.093
"Claudio Vidal","Negativa",0.369,0.364,0.374,0.404,0.363,0.32,0.357,0.347,0.353,0.438,0.47,0.311,0.39,0.317,0.15,0.544,0.466,0.611
"Claudio Vidal","No sabe",0.062,0.037,0.088,0.058,0.047,0.073,0.131,0.087,0.058,0.037,0.053,0.067,0.038,0.06,0.024,0.021,0.092,0.017
"Pablo Grasso","Positiva",0.292,0.28,0.304,0.312,0.307,0.212,0.298,0.243,0.319,0.294,0.356,0.255,0.51,0.292,0.241,0.092,0.069,0.13
"Pablo Grasso","Neutra",0.224,0.217,0.232,0.171,0.249,0.283,0.19,0.271,0.195,0.233,0.173,0.254,0.202,0.277,0.337,0.134,0.171,0.167
"Pablo Grasso","Negativa",0.392,0.399,0.384,0.417,0.361,0.442,0.345,0.377,0.388,0.419,0.428,0.371,0.22,0.399,0.361,0.744,0.635,0.687
"Pablo Grasso","No sabe",0.092,0.104,0.08,0.1,0.083,0.063,0.167,0.109,0.098,0.054,0.043,0.12,0.068,0.032,0.061,0.03,0.125,0.016
"Roxana Reyes","Positiva",0.231,0.275,0.186,0.228,0.191,0.269,0.379,0.28,0.178,0.295,0.303,0.191,0.15,0.193,0.16,0.576,0.253,0.164
"Roxana Reyes","Neutra",0.257,0.263,0.251,0.202,0.281,0.315,0.228,0.25,0.266,0.243,0.212,0.283,0.291,0.298,0.235,0.163,0.44,0.142
"Roxana Reyes","Negativa",0.402,0.382,0.421,0.454,0.417,0.333,0.25,0.341,0.431,0.414,0.391,0.407,0.439,0.448,0.523,0.248,0.131,0.694
"Roxana Reyes","No sabe",0.11,0.08,0.142,0.116,0.111,0.083,0.143,0.129,0.125,0.048,0.094,0.119,0.12,0.061,0.082,0.013,0.176,0
"Fernando Cotillo","Positiva",0.113,0.1,0.126,0.125,0.079,0.152,0.157,0.172,0.075,0.124,0.07,0.137,0.169,0.066,0.14,0.086,0.011,0.088
"Fernando Cotillo","Neutra",0.273,0.249,0.298,0.226,0.337,0.231,0.222,0.306,0.276,0.222,0.28,0.269,0.384,0.34,0.241,0.136,0.263,0.138
"Fernando Cotillo","Negativa",0.48,0.53,0.429,0.505,0.454,0.505,0.463,0.389,0.491,0.579,0.515,0.461,0.336,0.507,0.504,0.729,0.5,0.758
"Fernando Cotillo","No sabe",0.134,0.121,0.147,0.144,0.13,0.112,0.158,0.133,0.158,0.075,0.135,0.133,0.111,0.087,0.115,0.049,0.226,0.016
"Eduardo Costa","Positiva",0.191,0.21,0.171,0.168,0.158,0.262,0.311,0.201,0.174,0.221,0.201,0.186,0.107,0.216,0.148,0.499,0.104,0
"Eduardo Costa","Neutra",0.214,0.268,0.158,0.144,0.264,0.223,0.214,0.255,0.184,0.232,0.184,0.231,0.214,0.176,0.214,0.206,0.478,0.162
"Eduardo Costa","Negativa",0.513,0.457,0.571,0.597,0.499,0.455,0.373,0.442,0.559,0.499,0.573,0.478,0.626,0.581,0.586,0.269,0.266,0.718
"Eduardo Costa","No sabe",0.082,0.065,0.1,0.091,0.079,0.06,0.102,0.102,0.083,0.048,0.042,0.105,0.053,0.027,0.052,0.026,0.152,0.12
"Alicia Kirchner","Positiva",0.235,0.226,0.245,0.202,0.252,0.245,0.267,0.268,0.205,0.266,0.249,0.228,0.513,0.222,0.037,0.025,0.02,0.033
"Alicia Kirchner","Neutra",0.19,0.214,0.165,0.17,0.19,0.199,0.252,0.225,0.184,0.155,0.158,0.208,0.22,0.253,0.191,0.156,0.155,0.165
"Alicia Kirchner","Negativa",0.532,0.529,0.533,0.584,0.504,0.535,0.451,0.455,0.566,0.552,0.554,0.519,0.246,0.503,0.721,0.804,0.715,0.703
"Alicia Kirchner","No sabe",0.043,0.031,0.057,0.044,0.054,0.021,0.03,0.052,0.045,0.027,0.039,0.045,0.021,0.022,0.051,0.015,0.11,0.099
"Máximo Kirchner","Positiva",0.24,0.269,0.211,0.233,0.235,0.23,0.326,0.309,0.215,0.209,0.213,0.257,0.466,0.169,0.193,0.048,0.011,0.129
"Máximo Kirchner","Neutra",0.15,0.125,0.175,0.092,0.193,0.131,0.201,0.193,0.124,0.153,0.132,0.159,0.205,0.173,0.143,0.052,0.066,0.226
"Máximo Kirchner","Negativa",0.56,0.578,0.542,0.624,0.519,0.61,0.401,0.434,0.616,0.597,0.609,0.532,0.286,0.636,0.662,0.865,0.804,0.645
"Máximo Kirchner","No sabe",0.05,0.028,0.072,0.051,0.053,0.029,0.072,0.064,0.045,0.041,0.046,0.052,0.043,0.022,0.002,0.035,0.119,0
