"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P26","Mala",0.154,0.169,0.166,0.139
"P26","Muy mala",0.106,0.14,0.275,0.132
"P26","No sabe",0.066,0.02,0.035,0.241
"P27","Muy buena",0.625,0.157,0.031,0.011
"P27","Buena",0.287,0.475,0.059,0.094
"P27","Ni buena ni mala",0.053,0.326,0.275,0.386
"P27","Mala",0.01,0.032,0.241,0.131
"P27","Muy mala",0.025,0,0.293,0.075
"P27","No sabe",0,0.01,0.101,0.303
"P28","Muy buena",0.175,0.052,0.162,0.012
"P28","Buena",0.054,0.111,0.119,0.081
"P28","Ni buena ni mala",0.393,0.242,0.229,0.213
"P28","Mala",0.105,0.269,0.196,0.168
"P28","Muy mala",0.2,0.244,0.205,0.214
"P28","No sabe",0.073,0.082,0.089,0.312
"P29","Muy buena",0.095,0.056,0.041,0
"P29","Buena",0.104,0.138,0.039,0.03
"P29","Ni buena ni mala",0.401,0.305,0.243,0.186
"P29","Mala",0.158,0.131,0.237,0.093
"P29","Muy mala",0.149,0.256,0.36,0.191
"P29","No sabe",0.093,0.114,0.08,0.5
"P30","Muy buena",0.228,0.198,0.15,0.113
"P30","Buena",0.179,0.272,0.065,0.128
"P30","Ni buena ni mala",0.319,0.189,0.189,0.315
"P30","Mala",0.09,0.147,0.171,0.115
"P30","Muy mala",0.104,0.109,0.36,0.076
"P30","No sabe",0.08,0.085,0.065,0.253
