"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P10","Eduardo Costa por Cambia Santa Cruz",0.343,0.333,0.329,0.458,0.69
"P10","Máximo Kirchner por el Frente de Todos",0.074,0.007,0.101,0.024,0
"P10","Pablo Grasso por el Frente de Todos",0.183,0.118,0.006,0.05,0.021
"P10","Javier Belloni por el Frente de Todos",0.015,0.051,0.053,0.032,0
"P10","Pablo González por el Frente de Todos",0,0,0.012,0,0.111
"P10","Fernando Cotillo por el Frente de Todos",0.023,0,0,0,0
"P10","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.188,0.126,0.186,0,0.058
"P10","Roxana Reyes por Cambia Santa Cruz",0.14,0.169,0.267,0.193,0.082
"P10","No sabe",0.034,0.196,0.046,0.243,0.038
"P11","Eduardo Costa por Cambia Santa Cruz",0.347,0.362,0.507,0.358,0.696
"P11","Pablo Grasso por el Frente de Todos",0.125,0.034,0,0,0.019
"P11","Javier Belloni por el Frente de Todos",0.101,0.044,0,0.266,0
"P11","Alicia Kirchner por el Frente de Todos",0.074,0.008,0,0.013,0
"P11","Pablo González por el Frente de Todos",0.083,0,0.013,0,0
"P11","Fernando Cotillo por el Frente de Todos",0.021,0,0,0,0
"P11","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.11,0.2,0.189,0,0.019
"P11","Roxana Reyes por Cambia Santa Cruz",0.106,0.237,0.256,0.131,0.233
"P11","No sabe",0.033,0.115,0.035,0.232,0.033
"P12","Eduardo Costa por Cambia Santa Cruz",0.396,0.52,0.496,0.394,0.619
"P12","Javier Belloni por el Frente de Todos",0.02,0,0,0.254,0
"P12","Pablo Grasso por el Frente de Todos",0.125,0.112,0,0.028,0.017
"P12","Pablo González por el Frente de Todos",0,0.029,0.002,0.007,0
"P12","Fernando Cotillo por el Frente de Todos",0.096,0,0.014,0,0
"P12","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.244,0.065,0.118,0,0
"P12","Roxana Reyes por Cambia Santa Cruz",0.082,0.228,0.271,0.123,0.239
"P12","No sabe",0.037,0.046,0.099,0.194,0.125
"P13","Lo votaría",0.189,0.006,0.044,0.298,0.01
"P13","Puede que lo vote",0.048,0,0,0,0
"P13","Nunca lo votaría",0.741,0.994,0.948,0.702,0.99
"P13","No sabe",0.022,0,0.008,0,0
"P14","Lo votaría",0.212,0.004,0.016,0.25,0
"P14","Puede que lo vote",0,0.123,0.003,0.03,0
"P14","Nunca lo votaría",0.763,0.861,0.934,0.72,1
"P14","No sabe",0.025,0.012,0.047,0,0
"P15","Lo votaría",0.315,0.394,0.503,0.687,0.496
"P15","Puede que lo vote",0.373,0.074,0.273,0.166,0.415
"P15","Nunca lo votaría",0.175,0.406,0.203,0.084,0.07
"P15","No sabe",0.137,0.126,0.021,0.063,0.019
"P16","Lo votaría",0.364,0.327,0.269,0.296,0.031
"P16","Puede que lo vote",0.188,0.123,0.131,0.15,0.307
"P16","Nunca lo votaría",0.333,0.501,0.574,0.542,0.628
"P16","No sabe",0.115,0.049,0.026,0.012,0.034
"P17","Lo votaría",0.074,0.067,0.023,0.234,0.007
"P17","Puede que lo vote",0.225,0,0.017,0.058,0.034
"P17","Nunca lo votaría",0.632,0.889,0.949,0.673,0.928
"P17","No sabe",0.069,0.044,0.011,0.035,0.031
"P18","Lo votaría",0.175,0.042,0.019,0.253,0
"P18","Puede que lo vote",0.269,0.039,0.063,0.118,0.057
"P18","Nunca lo votaría",0.505,0.907,0.856,0.535,0.943
"P18","No sabe",0.051,0.012,0.062,0.094,0
"P19","Lo votaría",0.289,0.381,0.54,0.54,0.681
"P19","Puede que lo vote",0.225,0.206,0.174,0.388,0.054
"P19","Nunca lo votaría",0.446,0.375,0.252,0.045,0.265
"P19","No sabe",0.04,0.038,0.034,0.027,0
"P20","Lo votaría",0.164,0.137,0.01,0.302,0.181
"P20","Puede que lo vote",0.105,0.204,0.076,0,0.011
"P20","Nunca lo votaría",0.698,0.634,0.886,0.698,0.808
"P20","No sabe",0.033,0.025,0.028,0,0
"P21","Lo votaría",0.041,0,0.009,0.282,0.02
"P21","Puede que lo vote",0.026,0,0,0,0
"P21","Nunca lo votaría",0.875,1,0.981,0.718,0.805
"P21","No sabe",0.058,0,0.01,0,0.175
"P22","Muy buena",0.027,0.093,0,0.037,0.007
"P22","Buena",0.025,0,0.014,0.054,0.093
"P22","Ni buena ni mala",0.311,0.445,0.286,0.119,0.332
"P22","Mala",0.169,0.283,0.286,0.111,0.381
"P22","Muy mala",0.298,0.158,0.407,0.502,0.187
"P22","No sabe",0.17,0.021,0.007,0.177,0
"P23","Muy buena",0.092,0.097,0,0.068,0
"P23","Buena",0,0,0.003,0,0
"P23","Ni buena ni mala",0.151,0.159,0.146,0,0.045
"P23","Mala",0.067,0.355,0.216,0.157,0.447
"P23","Muy mala",0.69,0.389,0.586,0.775,0.508
"P23","No sabe",0,0,0.049,0,0
"P24","Muy buena",0.17,0.158,0.303,0.174,0.388
"P24","Buena",0.183,0.096,0.114,0.286,0.2
"P24","Ni buena ni mala",0.509,0.159,0.331,0.266,0.09
"P24","Mala",0.042,0.332,0.073,0.069,0.305
"P24","Muy mala",0.096,0.255,0.179,0.19,0.017
"P24","No sabe",0,0,0,0.015,0
"P25","Muy buena",0,0,0.125,0.01,0
"P25","Buena",0.154,0,0,0,0.028
"P25","Ni buena ni mala",0.126,0.144,0.01,0.052,0.019
"P25","Mala",0.142,0.244,0.098,0.108,0.363
"P25","Muy mala",0.578,0.612,0.767,0.748,0.59
"P25","No sabe",0,0,0,0.082,0
"P26","Muy buena",0.279,0.195,0.308,0,0.019
