"var","categoria","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio","Al candidato de José Luis Espert por Juntos por el Cambio","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","No sabe"
"P07","Del Frente de Todos y el peronismo",0.823,0.553,0.152,0.078,0,0.268,0.052,0.08,0.041
"P07","De Cambiemos",0.029,0.24,0.557,0.616,0.283,0.269,0.092,0.024,0.139
"P07","De los Liberales libertarios",0.021,0.064,0.193,0.205,0.577,0.234,0.742,0.269,0.092
"P07","De la Izquierda",0.022,0.008,0.012,0.019,0.019,0.055,0.005,0.556,0.009
"P07","No sabe",0.105,0.135,0.086,0.082,0.121,0.174,0.109,0.071,0.719
"P09","A Alberto Fernández",0.154,0.152,0.385,0.15,0,0.033,0.037,0,0.267
"P09","A Sergio Massa",0.071,0.419,0.121,0.168,0,0.461,0.579,0,0
"P09","A algún candidato del peronismo",0.106,0.105,0.139,0.285,0,0.231,0.144,0,0.485
"P09","A algún candidato del kirchnerismo",0.669,0.324,0.355,0.397,0,0.275,0.24,1,0.248
"P10","A Alberto Fernández",0.087,0.078,0.155,0.101,0,0.079,0.037,0,0
"P10","A Sergio Massa",0.061,0.283,0.095,0.107,0,0,0,0,0
"P10","A algún candidato del peronismo",0.046,0.039,0.38,0.26,0,0.131,0.27,0,0.295
"P10","A Cristina Fernández de Kirchner",0.806,0.6,0.37,0.532,0,0.79,0.693,1,0.705
"P11","A Horacio Rodriguez Larreta",0.345,0.19,0.32,0.167,0.129,0.164,0.332,1,0.321
"P11","A Patricia Bullrich",0.327,0.538,0.646,0.787,0.649,0.317,0.388,0,0.53
"P11","A Facundo Manes",0.146,0.243,0.024,0.011,0.155,0.337,0.16,0,0
"P11","A Gerardo Morales",0.182,0.029,0.01,0.035,0.067,0.182,0.12,0,0.149
