"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"A Horacio Rodriguez Larreta",0.259,0.221,0.288,0.337,0.294,0.205,0.211,0.273,0.272,0.234,0.311,0.24,0.412,0.311,0.232,0.133,0,0.072
"A Patricia Bullrich",0.627,0.673,0.592,0.524,0.608,0.685,0.663,0.58,0.644,0.632,0.47,0.685,0.406,0.463,0.71,0.69,0,0.928
"A Facundo Manes",0.074,0.074,0.075,0.139,0.063,0.063,0.062,0.101,0.053,0.087,0.149,0.04,0.155,0.169,0.028,0,0,0
"A Gerardo Morales",0.04,0.032,0.045,0,0.035,0.047,0.064,0.046,0.031,0.047,0.07,0.035,0.027,0.057,0.03,0.177,1,0
