"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.254,0.25,0.259,0.246,0.293,0.254,0.194,0.238,0.249,0.273,0.499,0.077,0.08,0.458,0.063,0.247,0.139,0.363
"A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.067,0.069,0.066,0.084,0.066,0.057,0.064,0.122,0.04,0.064,0.115,0.026,0.064,0.076,0.042,0.088,0,0.209
"A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.113,0.085,0.137,0.081,0.085,0.111,0.197,0.125,0.104,0.115,0.049,0.193,0.134,0.064,0.201,0.019,0,0.021
"A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.182,0.139,0.22,0.097,0.109,0.242,0.328,0.135,0.203,0.188,0.037,0.383,0.122,0.081,0.371,0.085,0.153,0.015
"A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.197,0.288,0.116,0.346,0.238,0.112,0.07,0.228,0.217,0.147,0.11,0.223,0.394,0.133,0.23,0.244,0.076,0.177
"A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.03,0.024,0.035,0.016,0.045,0.032,0.016,0.017,0.027,0.044,0.029,0.005,0.04,0.025,0.009,0.086,0.382,0.069
"No sabe",0.157,0.145,0.167,0.13,0.164,0.192,0.131,0.135,0.16,0.169,0.161,0.093,0.166,0.163,0.084,0.231,0.25,0.146
