"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"Roly Moreto","Muy buena",0.04,0.04,0.039,0.072,0.029,0.025,0.043,0.094,0.026,0.017,0.03,0.043,0.137,0.032,0.034,0,0,0.339
"Roly Moreto","Buena",0.041,0.06,0.024,0.054,0.028,0.039,0.054,0.055,0.05,0.02,0.031,0.06,0,0.037,0.067,0,0,0
"Roly Moreto","Ni buena ni mala",0.252,0.251,0.254,0.211,0.271,0.255,0.258,0.251,0.255,0.251,0.207,0.278,0.471,0.254,0.26,0.104,0.288,0.21
"Roly Moreto","Mala",0.097,0.112,0.083,0.072,0.135,0.101,0.049,0.101,0.094,0.097,0.147,0.056,0.038,0.118,0.077,0.267,0.182,0
"Roly Moreto","Muy mala",0.109,0.096,0.121,0.139,0.136,0.1,0.04,0.075,0.1,0.145,0.157,0.051,0.039,0.121,0.067,0.364,0.396,0.022
"Roly Moreto","No sabe",0.185,0.195,0.175,0.181,0.153,0.177,0.254,0.172,0.189,0.188,0.14,0.226,0.122,0.157,0.223,0.048,0.072,0.214
"Roly Moreto","No lo conozco",0.276,0.246,0.304,0.271,0.248,0.303,0.302,0.252,0.286,0.282,0.288,0.286,0.193,0.281,0.272,0.217,0.062,0.215
"Analía Zapulla","Muy buena",0.064,0.057,0.069,0.066,0.052,0.062,0.083,0.08,0.065,0.049,0.03,0.096,0.02,0.05,0.093,0.053,0.188,0
"Analía Zapulla","Buena",0.086,0.09,0.083,0.094,0.051,0.08,0.148,0.105,0.093,0.064,0.053,0.129,0.126,0.041,0.16,0.049,0,0.324
"Analía Zapulla","Ni buena ni mala",0.266,0.269,0.264,0.214,0.281,0.264,0.295,0.292,0.281,0.227,0.23,0.302,0.488,0.245,0.286,0.293,0.09,0.213
