"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P10","A Alberto Fernández",0.519,0.048,0.098,0.002
"P10","A Sergio Massa",0.095,0.386,0.018,0.015
"P10","A algún candidato del peronismo",0.049,0.101,0.49,0.03
"P10","A Cristina Fernández de Kirchner",0.337,0.465,0.394,0.953
"P12","Lo votaria",0.475,0.457,0.457,0.666
"P12","Puede que lo vote",0.175,0.205,0.2,0.127
"P12","Nunca lo votaría",0.14,0.157,0.177,0.036
"P12","No sabe",0.21,0.181,0.166,0.171
"P13","Lo votaria",0.162,0.076,0.153,0.065
"P13","Puede que lo vote",0.215,0.201,0.078,0.077
"P13","Nunca lo votaría",0.401,0.524,0.68,0.706
"P13","No sabe",0.222,0.199,0.089,0.152
"P14","Lo votaria",0.075,0.056,0.011,0.021
"P14","Puede que lo vote",0.236,0.152,0.107,0.05
"P14","Nunca lo votaría",0.316,0.567,0.568,0.555
"P14","No sabe",0.373,0.225,0.314,0.374
"P15","Lo votaria",0.045,0.096,0.065,0.028
"P15","Puede que lo vote",0.274,0.171,0.143,0.164
"P15","Nunca lo votaría",0.25,0.485,0.487,0.461
"P15","No sabe",0.431,0.248,0.305,0.347
"P16","Lo votaria",0.07,0.014,0.086,0
"P16","Puede que lo vote",0.228,0.129,0.049,0.024
"P16","Nunca lo votaría",0.309,0.543,0.454,0.55
"P16","No sabe",0.393,0.314,0.411,0.426
"P17","Lo votaria",0.048,0.014,0.059,0.014
"P17","Puede que lo vote",0.205,0.108,0.034,0.021
"P17","Nunca lo votaría",0.397,0.592,0.582,0.561
"P17","No sabe",0.35,0.286,0.325,0.404
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.668,0.336,0.571,0.818
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.086,0.258,0.074,0.052
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.169,0.058,0.076,0.044
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.044,0.053,0.104,0.033
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0,0,0,0
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.013,0.199,0.114,0.031
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.006,0.096,0.028,0.01
"P18","Al candidato del Frente de Izquierda",0,0,0,0.008
"P18","No sabe",0.014,0,0.033,0.004
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.602,0.554,0.638,0.685
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.238,0.136,0.046,0.112
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.048,0.02,0.04,0.003
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.005,0.068,0.095,0.01
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.029,0.035,0.057,0.027
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.024,0.019,0,0.032
"P19","No sabe",0.054,0.168,0.124,0.131
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.92,0.746,0.644,0.9
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.044,0.029,0.154,0.005
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0,0.101,0.093,0.018
"P20","Al candidato del Frente de Izquierda",0,0.008,0,0.034
"P20","No sabe",0.036,0.116,0.109,0.043
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.884,0.747,0.674,0.927
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.079,0.021,0.166,0.018
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.016,0.173,0.074,0.011
"P21","Al candidato del Frente de Izquierda",0,0.008,0.007,0.009
"P21","No sabe",0.021,0.051,0.079,0.035
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.803,0.713,0.607,0.796
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.027,0.068,0.125,0.004
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.04,0.118,0.059,0.011
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.023,0,0.021,0.024
"P22","No sabe",0.107,0.101,0.188,0.165
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.78,0.745,0.587,0.814
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.05,0.026,0.149,0.008
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.032,0.128,0.068,0.014
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0,0,0.003
"P23","No sabe",0.138,0.101,0.196,0.161
"P24","Muy buena",0.447,0.293,0.385,0.564
"P24","Buena",0.241,0.314,0.202,0.191
"P24","Ni buena ni mala",0.19,0.147,0.144,0.103
"P24","Mala",0.018,0.015,0.13,0.031
"P24","Muy mala",0.025,0.069,0.07,0.031
"P24","No sabe",0.021,0.079,0.013,0.038
"P24","No lo conozco",0.058,0.083,0.056,0.042
"P25","Muy buena",0.135,0.074,0.171,0.054
"P25","Buena",0.167,0.164,0.093,0.122
"P25","Ni buena ni mala",0.359,0.36,0.338,0.37
"P25","Mala",0.063,0.072,0.136,0.108
"P25","Muy mala",0.047,0.022,0.009,0.084
"P25","No sabe",0.116,0.153,0.057,0.139
"P25","No lo conozco",0.113,0.155,0.196,0.123
"P26","Muy buena",0.047,0.037,0.137,0.028
"P26","Buena",0.121,0.023,0.051,0.025
"P26","Ni buena ni mala",0.32,0.336,0.223,0.087
"P26","Mala",0.222,0.285,0.254,0.192
"P26","Muy mala",0.183,0.212,0.242,0.571
"P26","No sabe",0.038,0.07,0.035,0.044
"P26","No lo conozco",0.069,0.037,0.058,0.053
"P27","Muy buena",0.007,0.093,0.121,0.032
"P27","Buena",0.087,0.024,0.069,0.011
"P27","Ni buena ni mala",0.292,0.243,0.218,0.164
"P27","Mala",0.254,0.207,0.165,0.175
"P27","Muy mala",0.042,0.175,0.177,0.332
"P27","No sabe",0.103,0.149,0.124,0.108
"P27","No lo conozco",0.215,0.109,0.126,0.178
"P28","Muy buena",0.007,0.047,0.075,0.017
"P28","Buena",0.061,0.026,0.068,0.011
"P28","Ni buena ni mala",0.285,0.25,0.205,0.207
"P28","Mala",0.18,0.176,0.102,0.113
"P28","Muy mala",0.069,0.067,0.073,0.169
"P28","No sabe",0.136,0.263,0.273,0.177
"P28","No lo conozco",0.262,0.171,0.204,0.306
"P29","Muy buena",0.043,0.051,0,0
"P29","Buena",0.062,0.084,0.038,0.008
"P29","Ni buena ni mala",0.212,0.172,0.231,0.092
"P29","Mala",0.187,0.192,0.224,0.181
"P29","Muy mala",0.158,0.079,0.098,0.286
"P29","No sabe",0.098,0.204,0.203,0.142
"P29","No lo conozco",0.24,0.218,0.206,0.291
"P30","Muy buena",0.246,0.336,0.234,0.422
"P30","Buena",0.35,0.227,0.275,0.326
"P30","Ni buena ni mala",0.118,0.174,0.208,0.07
"P30","Mala",0.177,0.082,0.132,0.075
"P30","Muy mala",0.082,0.03,0.105,0.069
"P30","No sabe",0.027,0.151,0.046,0.038
"P31","Que continúe el intendente Lucas Gui",0.363,0.28,0.29,0.442
"P31","Que continúe Lucas Gui pero con mejoras",0.485,0.334,0.293,0.409
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.122,0.224,0.089,0.083
"P31","Que cambie el intendente Lucas Gui",0.03,0.162,0.328,0.066
"P32","La seguridad",0.202,0.058,0.057,0.131
"P32","El tránsito",0.092,0,0.139,0.061
"P32","El arreglo de las calles",0.162,0.226,0.144,0.189
"P32","Los parques y espacios públicos",0.157,0.183,0.209,0.17
"P32","El sistema de salud",0.058,0.049,0.119,0.13
"P32","La limpieza de las calles",0.065,0.051,0.045,0.044
"P32","El deporte y la cultura",0.06,0.162,0.031,0.185
"P32","La luminaria",0.08,0.115,0.099,0.026
"P32","No sabe",0.124,0.156,0.157,0.064
"P33","La seguridad",0.266,0.3,0.294,0.276
"P33","El tránsito",0.148,0.058,0.189,0.076
"P33","El arreglo de las calles",0.173,0.158,0.352,0.227
"P33","Los parques y espacios públicos",0.075,0.013,0.053,0.043
"P33","El sistema de salud",0.082,0.016,0.048,0.058
"P33","La limpieza de las calles",0.048,0.094,0.016,0.065
"P33","El deporte y la cultura",0.058,0.094,0,0.016
"P33","La luminaria",0.015,0.083,0.025,0.028
"P33","No sabe",0.135,0.184,0.023,0.211
"P34","Agua corriente y cloacas",0.283,0.206,0.137,0.173
"P34","Energía eléctrica",0.133,0.149,0.172,0.115
"P34","Red de gas natural",0.021,0.091,0.191,0.054
"P34","Recolección de residuos",0.21,0.328,0.164,0.218
"P34","Ninguno",0.353,0.226,0.336,0.44
"P35","Los robos",0.377,0.499,0.338,0.494
"P35","El narcotráfico",0.091,0.011,0.155,0.049
"P35","La ausencia de patrulleros y personal policial",0.307,0.228,0.223,0.158
"P35","Otro",0.081,0.231,0.157,0.139
"P35","Ninguno",0.144,0.031,0.127,0.16
"P36","Muy buena",0.159,0.186,0.283,0.182
"P36","Buena",0.172,0.118,0.193,0.238
"P36","Ni buena ni mala",0.393,0.3,0.404,0.239
"P36","Mala",0.115,0.177,0.046,0.061
"P36","Muy mala",0.047,0.036,0.009,0.049
"P36","No sabe",0.114,0.183,0.065,0.231
"P37","Lo votaria",0.478,0.142,0.241,0.131
"P37","Puede que lo vote",0.229,0.358,0.17,0.441
"P37","Nunca lo votaría",0.229,0.205,0.534,0.255
"P37","No sabe",0.064,0.295,0.055,0.173
"P38","Lo votaria",0.404,0.445,0.189,0.162
"P38","Puede que lo vote",0.287,0.232,0.331,0.479
"P38","Nunca lo votaría",0.291,0.125,0.428,0.184
"P38","No sabe",0.018,0.198,0.052,0.175
"P39","Lo votaria",0.363,0.235,0.232,0.258
"P39","Puede que lo vote",0.368,0.363,0.336,0.488
"P39","Nunca lo votaría",0.258,0.232,0.363,0.11
"P39","No sabe",0.011,0.17,0.069,0.144
"P40","Lo votaria",0.152,0.104,0.14,0.048
"P40","Puede que lo vote",0.163,0.091,0.121,0.039
"P40","Nunca lo votaría",0.67,0.578,0.683,0.843
"P40","No sabe",0.015,0.227,0.056,0.07
"P41","Lo votaria",0.083,0.105,0.277,0.026
"P41","Puede que lo vote",0.07,0,0.079,0.03
"P41","Nunca lo votaría",0.832,0.744,0.6,0.908
"P41","No sabe",0.015,0.151,0.044,0.036
"P42","Lo votaria",0.098,0.024,0.093,0.019
"P42","Puede que lo vote",0.17,0.07,0.24,0.075
"P42","Nunca lo votaría",0.611,0.513,0.543,0.825
"P42","No sabe",0.121,0.393,0.124,0.081
"P43","Lo votaria",0.074,0.024,0.084,0.019
"P43","Puede que lo vote",0.077,0.172,0.146,0.021
"P43","Nunca lo votaría",0.776,0.617,0.643,0.888
"P43","No sabe",0.073,0.187,0.127,0.072
"P44","Lo votaria",0.091,0.128,0.093,0.019
"P44","Puede que lo vote",0.099,0,0.128,0.025
"P44","Nunca lo votaría",0.761,0.72,0.754,0.924
"P44","No sabe",0.049,0.152,0.025,0.032
"P45","Lo votaria",0.075,0,0.178,0
"P45","Puede que lo vote",0.074,0,0.128,0.033
"P45","Nunca lo votaría",0.785,0.851,0.625,0.934
"P45","No sabe",0.066,0.149,0.069,0.033
"P46","Muy buena",0.326,0.126,0.128,0.069
"P46","Buena",0.31,0.335,0.123,0.25
"P46","Ni buena ni mala",0.266,0.419,0.279,0.422
"P46","Mala",0.03,0.12,0.149,0.229
"P46","Muy mala",0.068,0,0.321,0.03
"P46","No sabe",0,0,0,0
"P47","Muy buena",0.075,0.025,0.187,0.019
"P47","Buena",0.115,0.072,0.012,0.022
"P47","Ni buena ni mala",0.141,0.073,0.121,0.056
"P47","Mala",0.17,0.173,0.081,0.162
"P47","Muy mala",0.499,0.657,0.599,0.739
"P47","No sabe",0,0,0,0.002
"P48","Muy buena",0.647,0.659,0.422,0.816
"P48","Buena",0.219,0.051,0.166,0.061
"P48","Ni buena ni mala",0.049,0.074,0.07,0.009
"P48","Mala",0.006,0.028,0.016,0.012
"P48","Muy mala",0.079,0.188,0.326,0.102
"P48","No sabe",0,0,0,0
"P49","Muy buena",0.211,0.108,0.115,0.098
"P49","Buena",0.132,0.016,0.142,0.012
"P49","Ni buena ni mala",0.144,0.181,0.2,0.07
"P49","Mala",0.151,0.212,0.137,0.215
"P49","Muy mala",0.33,0.434,0.394,0.605
"P49","No sabe",0.032,0.049,0.012,0
"P50","Muy buena",0.181,0.163,0.101,0.081
"P50","Buena",0.362,0.539,0.197,0.34
"P50","Ni buena ni mala",0.161,0.133,0.308,0.38
"P50","Mala",0.109,0.032,0.116,0.092
"P50","Muy mala",0.155,0.133,0.266,0.1
"P50","No sabe",0.032,0,0.012,0.007
"P51","Muy buena",0.008,0.126,0.238,0.024
"P51","Buena",0.143,0.048,0.105,0.029
"P51","Ni buena ni mala",0.167,0.047,0.085,0.079
"P51","Mala",0.172,0.161,0.142,0.14
"P51","Muy mala",0.478,0.569,0.43,0.728
"P51","No sabe",0.032,0.049,0,0
"P52","Muy buena",0.008,0.025,0.141,0.021
"P52","Buena",0.136,0,0.088,0.007
"P52","Ni buena ni mala",0.049,0,0.258,0.026
"P52","Mala",0.194,0.335,0.037,0.153
"P52","Muy mala",0.548,0.64,0.476,0.793
"P52","No sabe",0.065,0,0,0
