"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"Lo votaria",0.116,0.092,0.137,0.095,0.081,0.139,0.169,0.169,0.102,0.095,0.037,0.194,0.036,0.088,0.141,0,0.327,0
"Puede que lo vote",0.241,0.219,0.261,0.228,0.218,0.237,0.299,0.177,0.278,0.238,0.135,0.329,0.311,0.125,0.388,0.317,0.123,0.195
"Nunca lo votaría",0.569,0.631,0.514,0.645,0.62,0.538,0.444,0.545,0.568,0.589,0.754,0.414,0.521,0.723,0.394,0.538,0.55,0.716
"No sabe",0.074,0.058,0.088,0.032,0.081,0.086,0.088,0.109,0.052,0.078,0.074,0.063,0.132,0.064,0.077,0.145,0,0.089
