"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.203,0.107,0.249,0.393,0.585,0.3,0.278
"P07","De Cambiemos",0.67,0.588,0.315,0.225,0.085,0.23,0.159
"P07","De los Liberales libertarios",0.069,0.224,0.328,0.25,0.139,0.213,0.371
"P07","De la Izquierda",0,0,0.012,0.03,0.05,0,0
"P07","No sabe",0.058,0.081,0.096,0.102,0.141,0.257,0.192
"P09","A Alberto Fernández",0.16,0.443,0.286,0.161,0.069,0.132,0.202
"P09","A Sergio Massa",0.115,0.077,0.273,0.187,0.073,0.219,0.097
"P09","A algún candidato del peronismo",0.37,0.147,0.157,0.144,0.071,0.093,0.133
"P09","A algún candidato del kirchnerismo",0.355,0.333,0.284,0.508,0.787,0.556,0.568
"P10","A Alberto Fernández",0.161,0.288,0.178,0.064,0.028,0,0.209
"P10","A Sergio Massa",0.114,0.095,0.096,0.081,0.039,0.107,0
"P10","A algún candidato del peronismo",0.44,0.147,0.145,0.054,0.049,0.106,0.036
"P10","A Cristina Fernández de Kirchner",0.285,0.47,0.581,0.801,0.884,0.787,0.755
"P11","A Horacio Rodriguez Larreta",0.181,0.211,0.282,0.159,0.131,0.285,0
"P11","A Patricia Bullrich",0.813,0.694,0.625,0.675,0.497,0.543,0.955
"P11","A Facundo Manes",0.006,0.035,0.051,0.084,0.316,0.172,0
"P11","A Gerardo Morales",0,0.06,0.042,0.082,0.056,0,0.045
"P12","Lo votaria",0.085,0.128,0.164,0.382,0.525,0.063,0.115
"P12","Puede que lo vote",0.171,0.15,0.176,0.184,0.1,0.299,0.148
"P12","Nunca lo votaría",0.701,0.622,0.463,0.367,0.301,0.25,0.225
"P12","No sabe",0.043,0.1,0.197,0.067,0.074,0.388,0.512
"P13","Lo votaria",0.679,0.356,0.102,0.062,0.054,0.082,0.042
"P13","Puede que lo vote",0.168,0.428,0.382,0.118,0.044,0.134,0.12
"P13","Nunca lo votaría",0.12,0.115,0.303,0.686,0.853,0.32,0.32
"P13","No sabe",0.033,0.101,0.213,0.134,0.049,0.464,0.518
"P14","Lo votaria",0.26,0.141,0.065,0.046,0.005,0.044,0.026
"P14","Puede que lo vote",0.112,0.243,0.228,0.134,0.032,0.061,0.058
"P14","Nunca lo votaría",0.376,0.248,0.3,0.448,0.655,0.248,0.301
"P14","No sabe",0.252,0.368,0.407,0.372,0.308,0.647,0.615
"P15","Lo votaria",0.146,0.018,0.035,0.045,0.015,0.008,0.026
"P15","Puede que lo vote",0.05,0.174,0.15,0.142,0.14,0.194,0.015
"P15","Nunca lo votaría",0.459,0.464,0.405,0.476,0.58,0.121,0.32
"P15","No sabe",0.345,0.344,0.41,0.337,0.265,0.677,0.639
"P16","Lo votaria",0.111,0.022,0.049,0.03,0.004,0,0.026
"P16","Puede que lo vote",0.096,0.16,0.091,0.074,0.016,0.13,0.035
"P16","Nunca lo votaría",0.452,0.376,0.401,0.467,0.619,0.169,0.364
"P16","No sabe",0.341,0.442,0.459,0.429,0.361,0.701,0.575
"P17","Lo votaria",0.13,0.055,0.047,0.014,0.001,0,0.038
"P17","Puede que lo vote",0.087,0.17,0.097,0.076,0.012,0.061,0.031
"P17","Nunca lo votaría",0.453,0.358,0.436,0.534,0.632,0.235,0.26
"P17","No sabe",0.33,0.417,0.42,0.376,0.355,0.704,0.671
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.01,0.086,0.171,0.355,0.55,0.212,0.271
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.037,0.054,0.062,0.072,0.027,0.148,0.026
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.482,0.247,0.157,0.054,0.069,0.093,0.09
