"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.301,0.285,0.315,0.217,0.365,0.318,0.251,0.275,0.292,0.332,0.623,0.055,0.102,0.533,0.078,0.053,0.145,0.218
"A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.27,0.215,0.319,0.146,0.153,0.336,0.524,0.235,0.297,0.259,0.067,0.525,0.191,0.113,0.539,0.168,0,0.023
"A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.236,0.333,0.149,0.445,0.264,0.137,0.092,0.278,0.24,0.199,0.132,0.264,0.553,0.128,0.282,0.562,0.318,0.357
"Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.033,0.042,0.026,0.033,0.053,0.022,0.012,0.036,0.029,0.037,0.03,0.019,0.05,0.03,0.015,0.09,0.338,0.151
"No sabe",0.16,0.125,0.191,0.159,0.165,0.187,0.121,0.176,0.142,0.173,0.148,0.137,0.104,0.196,0.086,0.127,0.199,0.251
