"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.363,0.343,0.381,0.299,0.439,0.377,0.277,0.362,0.323,0.417,0.712,0.077,0.06,0.618,0.089,0.371,0.222,0.27
"A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.28,0.219,0.334,0.176,0.167,0.358,0.494,0.297,0.284,0.262,0.079,0.546,0.201,0.133,0.55,0.111,0.043,0.271
"A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.211,0.294,0.137,0.35,0.256,0.124,0.094,0.25,0.228,0.161,0.117,0.222,0.484,0.11,0.25,0.322,0.261,0.273
"Al candidato del Frente de Izquierda",0.028,0.04,0.017,0.052,0.026,0.022,0.013,0.014,0.031,0.034,0.021,0.02,0.037,0.028,0.015,0.068,0.394,0
"No sabe",0.118,0.104,0.131,0.123,0.112,0.119,0.122,0.077,0.134,0.126,0.071,0.135,0.218,0.111,0.096,0.128,0.08,0.186
