"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"Los robos",0.447,0.447,0.447,0.485,0.475,0.418,0.395,0.384,0.461,0.474,0.43,0.468,0.389,0.441,0.473,0.581,0.253,0.38
"El narcotráfico",0.108,0.103,0.113,0.046,0.082,0.164,0.151,0.12,0.114,0.092,0.081,0.12,0.257,0.074,0.143,0.08,0.067,0.38
"La ausencia de patrulleros y personal policial",0.227,0.223,0.231,0.155,0.244,0.196,0.305,0.266,0.207,0.226,0.215,0.254,0.206,0.228,0.241,0.196,0.103,0.213
"Otro",0.14,0.155,0.127,0.212,0.127,0.154,0.076,0.16,0.133,0.135,0.169,0.095,0.076,0.137,0.111,0.071,0.436,0
"Ninguno",0.078,0.072,0.082,0.102,0.072,0.068,0.073,0.07,0.085,0.073,0.105,0.063,0.072,0.12,0.032,0.072,0.141,0.027
