"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.344,0.313,0.372,0.283,0.407,0.37,0.263,0.327,0.335,0.369,0.673,0.09,0.067,0.595,0.091,0.34,0.367,0.089
"A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.246,0.203,0.284,0.159,0.164,0.274,0.447,0.206,0.272,0.241,0.069,0.483,0.145,0.121,0.489,0.037,0.043,0.089
"A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.201,0.265,0.144,0.326,0.23,0.131,0.105,0.221,0.198,0.191,0.127,0.216,0.487,0.114,0.251,0.31,0.083,0.326
"Al candidato del Frente de Izquierda",0.051,0.058,0.044,0.083,0.037,0.042,0.054,0.06,0.045,0.051,0.03,0.061,0.047,0.048,0.046,0.07,0.394,0
"No sabe",0.158,0.161,0.156,0.149,0.162,0.183,0.131,0.186,0.15,0.148,0.101,0.15,0.254,0.122,0.123,0.243,0.113,0.496
