"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P07","Del Frente de Todos y el peronismo",0.518,0.442,0.508,0.369,0.595,0.24,0.512,0.276,0.101
"P07","De Cambiemos",0.191,0.235,0.184,0.298,0.132,0.32,0.111,0.411,0.43
"P07","De los Liberales libertarios",0.076,0.188,0.22,0.225,0.146,0.211,0.199,0.212,0.333
"P07","De la Izquierda",0,0.052,0.019,0.041,0.035,0.009,0.052,0.027,0.007
"P07","No sabe",0.215,0.083,0.069,0.067,0.092,0.22,0.126,0.074,0.129
"P09","A Alberto Fernández",0.268,0.228,0.148,0.152,0.09,0.224,0.069,0.252,0.219
"P09","A Sergio Massa",0.053,0,0.142,0.122,0.053,0.121,0.13,0.249,0.19
"P09","A algún candidato del peronismo",0.05,0.229,0.087,0.134,0.123,0.104,0.024,0.206,0.184
"P09","A algún candidato del kirchnerismo",0.629,0.543,0.623,0.592,0.734,0.551,0.777,0.293,0.407
"P10","A Alberto Fernández",0.206,0.167,0.096,0.034,0.06,0.224,0.052,0,0.069
"P10","A Sergio Massa",0,0,0.107,0.03,0.008,0.036,0.125,0.048,0.118
"P10","A algún candidato del peronismo",0.149,0.155,0.03,0.137,0.082,0.053,0,0.05,0.132
"P10","A Cristina Fernández de Kirchner",0.645,0.678,0.767,0.799,0.85,0.687,0.823,0.902,0.681
"P11","A Horacio Rodriguez Larreta",0.085,0.062,0.372,0.215,0.201,0.233,0.201,0.212,0.159
"P11","A Patricia Bullrich",0.522,0.515,0.491,0.681,0.658,0.607,0.536,0.683,0.78
"P11","A Facundo Manes",0.367,0.423,0.115,0.08,0.141,0.018,0.263,0,0.017
"P11","A Gerardo Morales",0.026,0,0.022,0.024,0,0.142,0,0.105,0.044
"P12","Lo votaria",0.445,0.269,0.46,0.322,0.563,0.293,0.461,0.282,0.067
"P12","Puede que lo vote",0.235,0.261,0.162,0.217,0.125,0.106,0.184,0.093,0.116
"P12","Nunca lo votaría",0.218,0.306,0.259,0.334,0.277,0.387,0.286,0.45,0.668
"P12","No sabe",0.102,0.164,0.119,0.127,0.035,0.214,0.069,0.175,0.149
"P13","Lo votaria",0.238,0.117,0.132,0.124,0.149,0.13,0.068,0.16,0.222
"P13","Puede que lo vote",0.228,0.123,0.179,0.216,0.074,0.277,0.162,0.357,0.249
"P13","Nunca lo votaría",0.375,0.593,0.564,0.529,0.683,0.38,0.709,0.306,0.353
"P13","No sabe",0.159,0.167,0.125,0.131,0.094,0.213,0.061,0.177,0.176
"P14","Lo votaria",0.141,0,0.096,0.066,0.007,0.086,0.031,0.032,0.07
"P14","Puede que lo vote",0.101,0.154,0.197,0.208,0.039,0.177,0.051,0.151,0.137
"P14","Nunca lo votaría",0.45,0.441,0.446,0.352,0.68,0.396,0.527,0.323,0.335
"P14","No sabe",0.308,0.405,0.261,0.374,0.274,0.341,0.391,0.494,0.458
"P15","Lo votaria",0.104,0.096,0.104,0.031,0,0.017,0.007,0.011,0.018
"P15","Puede que lo vote",0.113,0.166,0.176,0.141,0.218,0.141,0.163,0.128,0.099
"P15","Nunca lo votaría",0.445,0.374,0.458,0.49,0.535,0.478,0.469,0.355,0.433
"P15","No sabe",0.338,0.364,0.262,0.338,0.247,0.364,0.361,0.506,0.45
"P16","Lo votaria",0.1,0.046,0.064,0.017,0.011,0,0.035,0.042,0.028
"P16","Puede que lo vote",0.055,0.075,0.086,0.107,0.036,0.117,0.024,0.095,0.071
"P16","Nunca lo votaría",0.516,0.458,0.478,0.467,0.639,0.373,0.547,0.309,0.394
"P16","No sabe",0.329,0.421,0.372,0.409,0.314,0.51,0.394,0.554,0.507
"P17","Lo votaria",0.133,0,0.048,0.015,0,0.015,0.019,0.048,0.022
"P17","Puede que lo vote",0.087,0.082,0.058,0.091,0.031,0.133,0.014,0.104,0.071
"P17","Nunca lo votaría",0.453,0.488,0.57,0.562,0.54,0.346,0.544,0.379,0.421
"P17","No sabe",0.327,0.43,0.324,0.332,0.429,0.506,0.423,0.469,0.486
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.373,0.335,0.417,0.306,0.59,0.279,0.531,0.26,0.087
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.041,0.131,0.054,0.07,0.049,0.022,0.029,0.056,0.028
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.155,0.141,0.134,0.17,0.149,0.152,0.093,0.186,0.167
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.193,0.045,0.136,0.16,0.065,0.226,0.146,0.296,0.325
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0,0,0.051,0.008,0.037,0.022,0.034,0.022,0.058
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.111,0.139,0.064,0.122,0.015,0.062,0.073,0.045,0.061
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.056,0.175,0.086,0.12,0.021,0.166,0.049,0.076,0.199
"P18","Al candidato del Frente de Izquierda",0.016,0.034,0.011,0.014,0.021,0,0.035,0.027,0.01
"P18","No sabe",0.055,0,0.047,0.03,0.053,0.071,0.01,0.032,0.065
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.38,0.494,0.424,0.29,0.513,0.164,0.427,0.245,0.074
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.096,0.123,0.074,0.06,0.038,0.119,0.027,0.055,0.058
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.134,0.006,0.093,0.111,0.129,0.109,0.04,0.113,0.127
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.059,0.048,0.107,0.198,0.067,0.212,0.077,0.277,0.347
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.147,0.24,0.206,0.169,0.084,0.277,0.208,0.159,0.213
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.005,0.025,0.018,0.043,0.049,0.009,0.064,0.049,0.017
"P19","No sabe",0.179,0.064,0.078,0.129,0.12,0.11,0.157,0.102,0.164
