"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.08,0.192,0.188,0.524,0.515,0.309,0.345
"P07","De Cambiemos",0.103,0.432,0.413,0.261,0.194,0.299,0.274
"P07","De los Liberales libertarios",0.718,0.343,0.29,0.11,0.081,0.189,0.242
"P07","De la Izquierda",0,0.015,0.011,0.035,0.062,0.004,0.019
"P07","No sabe",0.099,0.018,0.098,0.07,0.148,0.199,0.12
"P09","A Alberto Fernández",0.534,0.337,0.241,0.155,0.112,0.102,0.142
"P09","A Sergio Massa",0.466,0.337,0.146,0.119,0.042,0.158,0.096
"P09","A algún candidato del peronismo",0,0.163,0.206,0.146,0.055,0.166,0.096
"P09","A algún candidato del kirchnerismo",0,0.163,0.407,0.58,0.791,0.574,0.666
"P10","A Alberto Fernández",0.288,0.5,0.152,0.054,0.032,0.04,0.093
"P10","A Sergio Massa",0.466,0,0.069,0.109,0.037,0.047,0.037
"P10","A algún candidato del peronismo",0,0,0.163,0.097,0.082,0.097,0.071
"P10","A Cristina Fernández de Kirchner",0.246,0.5,0.616,0.74,0.849,0.816,0.799
"P11","A Horacio Rodriguez Larreta",0.101,0.227,0.207,0.177,0.101,0.222,0.223
"P11","A Patricia Bullrich",0.899,0.773,0.659,0.693,0.636,0.733,0.67
"P11","A Facundo Manes",0,0,0.057,0.05,0.233,0.017,0.076
"P11","A Gerardo Morales",0,0,0.077,0.08,0.03,0.028,0.031
"P12","Lo votaria",0.094,0.044,0.21,0.397,0.383,0.241,0.321
"P12","Puede que lo vote",0.079,0.431,0.183,0.144,0.122,0.143,0.146
"P12","Nunca lo votaría",0.708,0.422,0.48,0.341,0.406,0.461,0.357
"P12","No sabe",0.119,0.103,0.127,0.118,0.089,0.155,0.176
"P13","Lo votaria",0.2,0.251,0.171,0.148,0.1,0.171,0.151
"P13","Puede que lo vote",0.236,0.436,0.266,0.112,0.142,0.232,0.201
"P13","Nunca lo votaría",0.509,0.203,0.354,0.656,0.697,0.424,0.452
"P13","No sabe",0.055,0.11,0.209,0.084,0.061,0.173,0.196
"P14","Lo votaria",0.182,0.184,0.086,0.06,0.053,0.007,0.059
"P14","Puede que lo vote",0.187,0.22,0.198,0.209,0.032,0.153,0.073
"P14","Nunca lo votaría",0.517,0.267,0.339,0.461,0.698,0.373,0.305
"P14","No sabe",0.114,0.329,0.377,0.27,0.217,0.467,0.563
"P15","Lo votaria",0.083,0.096,0.037,0.039,0.054,0.017,0.018
"P15","Puede que lo vote",0.181,0.197,0.129,0.148,0.176,0.089,0.129
"P15","Nunca lo votaría",0.546,0.352,0.428,0.58,0.605,0.447,0.314
"P15","No sabe",0.19,0.355,0.406,0.233,0.165,0.447,0.539
"P16","Lo votaria",0.094,0.07,0.049,0.032,0.024,0.018,0.014
"P16","Puede que lo vote",0.103,0.191,0.124,0.08,0.049,0.042,0.052
"P16","Nunca lo votaría",0.607,0.329,0.371,0.593,0.686,0.357,0.348
"P16","No sabe",0.196,0.41,0.456,0.295,0.241,0.583,0.586
"P17","Lo votaria",0.179,0.076,0.032,0.028,0.053,0,0.009
"P17","Puede que lo vote",0.061,0.217,0.152,0.02,0.012,0.043,0.05
"P17","Nunca lo votaría",0.58,0.346,0.421,0.734,0.8,0.291,0.313
"P17","No sabe",0.18,0.361,0.395,0.218,0.135,0.666,0.628
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.026,0.111,0.181,0.448,0.456,0.218,0.322
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.04,0.113,0.054,0.034,0.035,0.062,0.046
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.2,0.091,0.178,0.16,0.15,0.153,0.126
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.192,0.435,0.251,0.146,0.099,0.257,0.221
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.021,0.028,0.047,0.009,0.033,0.047,0.033
