"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"A Alberto Fernández",0.179,0.203,0.159,0.218,0.177,0.182,0.14,0.306,0.157,0.112,0.188,0.127,0.233,0.129,0.313,0,0.249,0.513
"A Sergio Massa",0.162,0.165,0.158,0.167,0.17,0.136,0.171,0.169,0.172,0.143,0.145,0.167,0,0.128,0.213,0,0.565,0.383
"A algún candidato del peronismo",0.137,0.176,0.102,0.129,0.127,0.138,0.16,0.122,0.175,0.097,0.12,0.254,0.767,0.125,0.192,0,0.186,0.104
"A algún candidato del kirchnerismo",0.522,0.456,0.581,0.486,0.526,0.544,0.529,0.403,0.496,0.648,0.547,0.452,0,0.618,0.282,1,0,0
