"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P07","Del Frente de Todos y el peronismo",0.35,0.193,0.297,0.344,0.608
"P07","De Cambiemos",0.284,0.424,0.373,0.208,0.131
"P07","De los Liberales libertarios",0.229,0.286,0.196,0.256,0.134
"P07","De la Izquierda",0.018,0.012,0.023,0.055,0.022
"P07","No sabe",0.119,0.085,0.111,0.137,0.105
"P09","A Alberto Fernández",0.139,0.241,0.262,0.097,0.175
"P09","A Sergio Massa",0.123,0.02,0.13,0.184,0.026
"P09","A algún candidato del peronismo",0.081,0.266,0.123,0.121,0.099
"P09","A algún candidato del kirchnerismo",0.657,0.473,0.485,0.598,0.7
"P10","A Alberto Fernández",0.134,0.116,0.072,0.055,0.046
"P10","A Sergio Massa",0.058,0.04,0.06,0.035,0.081
"P10","A algún candidato del peronismo",0.095,0.021,0.048,0.057,0.161
"P10","A Cristina Fernández de Kirchner",0.713,0.823,0.82,0.853,0.712
"P11","A Horacio Rodriguez Larreta",0.171,0.133,0.221,0.281,0.219
"P11","A Patricia Bullrich",0.678,0.771,0.707,0.645,0.414
"P11","A Facundo Manes",0.087,0.055,0.028,0.074,0.303
"P11","A Gerardo Morales",0.064,0.041,0.044,0,0.064
"P12","Lo votaria",0.311,0.219,0.262,0.27,0.513
"P12","Puede que lo vote",0.147,0.191,0.143,0.241,0.113
"P12","Nunca lo votaría",0.443,0.448,0.474,0.369,0.172
"P12","No sabe",0.099,0.142,0.121,0.12,0.202
"P13","Lo votaria",0.158,0.205,0.175,0.143,0.169
"P13","Puede que lo vote",0.266,0.206,0.217,0.146,0.126
"P13","Nunca lo votaría",0.447,0.451,0.508,0.508,0.585
"P13","No sabe",0.129,0.138,0.1,0.203,0.12
"P14","Lo votaria",0.062,0.068,0.07,0.074,0.075
"P14","Puede que lo vote",0.134,0.169,0.175,0.097,0.139
"P14","Nunca lo votaría",0.445,0.343,0.382,0.367,0.486
"P14","No sabe",0.359,0.42,0.373,0.462,0.3
"P15","Lo votaria",0.024,0.051,0.056,0.044,0.067
"P15","Puede que lo vote",0.143,0.153,0.117,0.13,0.179
"P15","Nunca lo votaría",0.487,0.399,0.452,0.442,0.438
"P15","No sabe",0.346,0.397,0.375,0.384,0.316
"P16","Lo votaria",0.033,0.044,0.058,0.012,0.046
"P16","Puede que lo vote",0.074,0.102,0.055,0.098,0.033
"P16","Nunca lo votaría",0.487,0.424,0.4,0.429,0.592
"P16","No sabe",0.406,0.43,0.487,0.461,0.329
"P17","Lo votaria",0.026,0.004,0.053,0.011,0.094
"P17","Puede que lo vote",0.07,0.139,0.086,0.033,0.011
