"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Asado",0.114,0.143,0.088,0.135,0.112,0.113,0.101,0.157,0.096,0.098,0.091,0.116,0.127,0.127,0.065,0.135,0.125,0.095,0.097,0.101
"Pizza",0.075,0.075,0.074,0.074,0.085,0.076,0.052,0.075,0.079,0.068,0.069,0.071,0.086,0.077,0.014,0.054,0.081,0.067,0.075,0.113
"Milanesa",0.222,0.239,0.207,0.268,0.23,0.217,0.175,0.181,0.232,0.244,0.251,0.239,0.201,0.253,0.181,0.235,0.246,0.168,0.16,0.17
"Pastas",0.155,0.159,0.152,0.163,0.162,0.136,0.161,0.128,0.176,0.154,0.147,0.166,0.177,0.191,0.153,0.194,0.128,0.106,0.107,0.141
"Empanadas",0.046,0.047,0.046,0.037,0.038,0.043,0.075,0.053,0.041,0.047,0.062,0.055,0.064,0.028,0.029,0.022,0.037,0.057,0.052,0.031
"Hamburguesa",0.019,0.016,0.021,0.017,0.026,0.013,0.013,0.012,0.016,0.028,0.02,0.026,0.009,0.009,0.007,0.008,0.019,0.023,0.039,0.021
"Ensaladas (de cualquier tipo)",0.114,0.077,0.147,0.072,0.087,0.14,0.166,0.075,0.104,0.159,0.161,0.104,0.116,0.093,0.161,0.097,0.102,0.085,0.114,0.151
"Guiso (de lentejas, de arroz, locro o similares)",0.11,0.102,0.117,0.1,0.11,0.123,0.103,0.123,0.117,0.091,0.076,0.106,0.108,0.087,0.19,0.096,0.093,0.24,0.153,0.087
"Polenta o similares (de cualquier tipo)",0.078,0.076,0.079,0.085,0.075,0.076,0.08,0.128,0.07,0.045,0.043,0.07,0.058,0.08,0.124,0.059,0.095,0.072,0.135,0.103
"Ninguno de los anteriores",0.067,0.066,0.069,0.049,0.075,0.063,0.074,0.068,0.069,0.066,0.08,0.047,0.054,0.055,0.076,0.1,0.074,0.087,0.068,0.082
