"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.196,0.178,0.211,0.162,0.218,0.201,0.196,0.159,0.171,0.229,0.458,0.068,0.335
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.096,0.092,0.099,0.103,0.111,0.079,0.077,0.066,0.095,0.107,0.197,0.051,0
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.253,0.219,0.282,0.142,0.204,0.361,0.37,0.213,0.265,0.258,0.078,0.406,0.05
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.143,0.147,0.139,0.117,0.13,0.179,0.161,0.144,0.109,0.169,0.064,0.218,0.131
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.154,0.207,0.111,0.236,0.169,0.091,0.091,0.239,0.189,0.097,0.1,0.164,0.101
"Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.024,0.035,0.015,0.008,0.05,0.01,0.014,0.041,0.022,0.02,0.014,0.016,0.068
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.009,0.018,0.009,0.018,0.015,0.012,0.031,0.012,0.009,0.008,0.011,0.059
"Otros",0.053,0.052,0.054,0.104,0.045,0.02,0.034,0.039,0.066,0.047,0.03,0.038,0.217
"En blanco",0.024,0.027,0.021,0.025,0.035,0.012,0.017,0,0.048,0.014,0.019,0.015,0
"No sabe",0.043,0.034,0.05,0.094,0.02,0.032,0.028,0.068,0.023,0.05,0.032,0.013,0.039
