"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.191,0.174,0.206,0.154,0.211,0.2,0.195,0.156,0.167,0.223,0.452,0.067,0.312
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.098,0.096,0.1,0.106,0.113,0.081,0.081,0.081,0.096,0.107,0.193,0.058,0.04
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.249,0.215,0.277,0.135,0.205,0.355,0.361,0.211,0.258,0.255,0.076,0.4,0.074
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.144,0.143,0.144,0.122,0.126,0.181,0.164,0.14,0.117,0.165,0.062,0.222,0.123
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.151,0.202,0.109,0.222,0.17,0.088,0.094,0.232,0.181,0.099,0.1,0.16,0.093
"Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.024,0.034,0.015,0.008,0.049,0.009,0.014,0.039,0.021,0.019,0.014,0.016,0.064
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.01,0.023,0.02,0.019,0.015,0.012,0.034,0.012,0.015,0.007,0.011,0.055
"Otros",0.052,0.049,0.054,0.099,0.043,0.026,0.033,0.04,0.066,0.046,0.029,0.037,0.202
"En blanco",0.027,0.032,0.023,0.023,0.044,0.014,0.016,0.003,0.052,0.016,0.027,0.015,0
"No sabe",0.047,0.045,0.049,0.111,0.02,0.031,0.03,0.064,0.03,0.055,0.04,0.014,0.037
