"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda","Otros","En blanco"
"P22_votan","Totalmente seguro.",0.706,0.602,0.547,0.733,0.521,0.462,0.587
"P22_votan","Bastante seguro",0.166,0.233,0.257,0.078,0.054,0.071,0
"P22_votan","Algo seguro",0.05,0.145,0.079,0.072,0.035,0.163,0.24
"P22_votan","Para nada seguro",0.078,0.02,0.117,0.117,0.39,0.304,0.173
"P23_votan","Tiene Decidido que va a ir a votar.",0.95,0.956,0.914,0.925,0.767,1,0.535
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.05,0.044,0.086,0.075,0.233,0,0.465
"P34_votan","Inflación",0.341,0.315,0.313,0.316,0.063,0.553,0.284
"P34_votan","Desempleo",0.061,0.042,0.079,0.092,0.039,0.031,0
"P34_votan","Corrupción",0.112,0.337,0.253,0.415,0.565,0.112,0.105
"P34_votan","Inseguridad",0.089,0.211,0.128,0.087,0.045,0.204,0.296
"P34_votan","Precio del dólar",0.009,0.031,0.005,0.008,0.042,0,0.084
"P34_votan","Pobreza",0.191,0.01,0.079,0.016,0.118,0.05,0
"P34_votan","Narcotráfico",0.016,0.013,0.021,0.03,0.018,0.021,0.231
"P34_votan","Tarifas",0.008,0.015,0.005,0,0.021,0,0
"P34_votan","Otro",0.142,0.021,0.077,0.036,0.039,0.029,0
"P34_votan","No sabe",0.031,0.005,0.04,0,0.05,0,0
