"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09_votan","Unión por la Patria",0.312,0.291,0.16,0.138,0.19,0.687,0.173,0.372,0.678,0.481
"P09_votan","Juntos por el Cambio",0.441,0.419,0.453,0.586,0.379,0.135,0.384,0.533,0.157,0.173
"P09_votan","De los liberales libertarios",0.158,0.142,0.263,0.117,0.431,0.039,0.055,0,0.086,0.126
"P09_votan","De la Izquierda",0.022,0.027,0.035,0.032,0,0.085,0.043,0.095,0.057,0
"P09_votan","Hacemos por nuestro país",0,0,0,0,0,0,0,0,0,0
"P09_votan","Otro",0.023,0.039,0.035,0.046,0,0.016,0.035,0,0.012,0
"P09_votan","En blanco",0.016,0.027,0.035,0.02,0,0,0.134,0,0,0.063
"P09_votan","No sabe",0.028,0.055,0.019,0.061,0,0.038,0.176,0,0.01,0.157
"P12_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.211,0.192,0.105,0.136,0.086,0.487,0.338,0.183,0.417,0.357
"P12_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.089,0.125,0.078,0.049,0.106,0.199,0,0.081,0.262,0.23
"P12_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.265,0.111,0.349,0.414,0.386,0.067,0.043,0.528,0.106,0.068
"P12_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.207,0.263,0.106,0.187,0,0.089,0.342,0.108,0.06,0.073
"P12_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.156,0.13,0.271,0.119,0.422,0.03,0.144,0,0.086,0.122
"P12_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.01,0.058,0.016,0,0,0.066,0,0,0.02,0.063
"P12_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0,0.01,0.014,0,0.016,0.051,0,0,0
"P12_votan","Otros",0.037,0.068,0.032,0.054,0,0.016,0.035,0,0.026,0.045
"P12_votan","En blanco",0.011,0.027,0.003,0.006,0,0.02,0,0,0.023,0
"P12_votan","No sabe",0.008,0.026,0.03,0.021,0,0.01,0.047,0.1,0,0.042
"P15_votan","Union por la Patria",0.314,0.294,0.176,0.166,0.2,0.709,0.344,0.267,0.727,0.464
"P15_votan","Cambiemos",0.432,0.418,0.438,0.553,0.098,0.202,0.301,0.529,0.183,0.348
"P15_votan","Liberales",0.151,0.137,0.243,0.101,0.553,0.009,0.085,0,0.042,0
"P15_votan","Izquierda",0.038,0.102,0.021,0.035,0,0.05,0.042,0.204,0.024,0
"P15_votan","No sabe",0.065,0.049,0.122,0.145,0.149,0.03,0.228,0,0.024,0.188
"P16_votan","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.326,0.201,0.125,0.185,0.155,0.694,0.255,0.267,0.615,0.471
"P16_votan","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.32,0.234,0.412,0.457,0.598,0.04,0.211,0.429,0.099,0.076
"P16_votan","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.169,0.239,0.145,0.165,0.049,0.166,0.149,0.107,0.195,0.348
"P16_votan","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.105,0.165,0.168,0.066,0.049,0.02,0.164,0,0.053,0
"P16_votan","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.008,0.029,0.09,0.014,0.107,0.05,0,0.098,0.024,0.105
"P16_votan","Otros",0.058,0.018,0.014,0.049,0,0.02,0.036,0,0.014,0
"P16_votan","En blanco",0.008,0,0.003,0.018,0.042,0,0,0,0,0
"P16_votan","No sabe",0.006,0.114,0.043,0.046,0,0.01,0.185,0.099,0,0
"P22_votan","Totalmente seguro.",0.638,0.684,0.596,0.609,0.856,0.77,0.546,0.805,0.639,0.522
"P22_votan","Bastante seguro",0.169,0.157,0.169,0.267,0.047,0.174,0.101,0.1,0.279,0.206
"P22_votan","Algo seguro",0.088,0.056,0.158,0.096,0.04,0.016,0,0,0.04,0
"P22_votan","Para nada seguro",0.105,0.103,0.077,0.028,0.057,0.04,0.353,0.095,0.042,0.272
"P23_votan","Tiene Decidido que va a ir a votar.",0.948,0.927,0.911,0.908,0.903,0.962,0.808,1,0.964,0.901
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.052,0.073,0.089,0.092,0.097,0.038,0.192,0,0.036,0.099
"P09_imputada_votan","Unión por la Patria",0.32,0.291,0.167,0.166,0.19,0.687,0.31,0.372,0.687,0.481
"P09_imputada_votan","Juntos por el Cambio",0.441,0.445,0.46,0.612,0.379,0.173,0.384,0.533,0.158,0.289
"P09_imputada_votan","De los liberales libertarios",0.163,0.142,0.268,0.124,0.431,0.039,0.054,0,0.086,0.126
"P09_imputada_votan","De la Izquierda",0.038,0.027,0.035,0.032,0,0.085,0.043,0.095,0.057,0
"P09_imputada_votan","Hacemos por nuestro país",0,0,0,0,0,0,0,0,0,0
"P09_imputada_votan","Otro",0.022,0.068,0.035,0.046,0,0.016,0.075,0,0.012,0.042
"P09_imputada_votan","En blanco",0.016,0.027,0.035,0.02,0,0,0.134,0,0,0.062
"P12_imputada_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.211,0.193,0.123,0.15,0.086,0.487,0.338,0.183,0.417,0.357
"P12_imputada_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.089,0.125,0.078,0.049,0.106,0.199,0,0.081,0.262,0.23
"P12_imputada_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.27,0.111,0.352,0.414,0.386,0.067,0.09,0.628,0.106,0.11
"P12_imputada_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.21,0.288,0.109,0.193,0,0.099,0.342,0.108,0.06,0.073
"P12_imputada_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.156,0.13,0.272,0.12,0.422,0.03,0.144,0,0.086,0.122
"P12_imputada_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.01,0.058,0.021,0,0,0.066,0,0,0.02,0.063
"P12_imputada_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0,0.01,0.014,0,0.016,0.051,0,0,0
"P12_imputada_votan","Otros",0.037,0.068,0.032,0.054,0,0.016,0.035,0,0.026,0.045
"P12_imputada_votan","En blanco",0.011,0.027,0.003,0.006,0,0.02,0,0,0.023,0
"P15_imputada_votan","Union por la Patria",0.353,0.325,0.234,0.201,0.2,0.729,0.396,0.267,0.727,0.505
"P15_imputada_votan","Cambiemos",0.458,0.418,0.483,0.642,0.247,0.212,0.437,0.529,0.195,0.348
"P15_imputada_votan","Liberales",0.151,0.155,0.259,0.122,0.553,0.009,0.125,0,0.054,0.077
"P15_imputada_votan","Izquierda",0.038,0.102,0.024,0.035,0,0.05,0.042,0.204,0.024,0.07
"P16_imputada_votan","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.326,0.316,0.131,0.196,0.155,0.694,0.255,0.267,0.615,0.471
"P16_imputada_votan","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.32,0.234,0.418,0.493,0.598,0.04,0.21,0.528,0.099,0.076
"P16_imputada_votan","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.175,0.239,0.172,0.164,0.049,0.166,0.195,0.107,0.195,0.348
"P16_imputada_votan","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.105,0.165,0.168,0.066,0.049,0.02,0.164,0,0.053,0
"P16_imputada_votan","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.008,0.028,0.093,0.014,0.107,0.06,0.04,0.098,0.024,0.105
"P16_imputada_votan","Otros",0.058,0.018,0.015,0.049,0,0.02,0.036,0,0.014,0
"P16_imputada_votan","En blanco",0.008,0,0.003,0.018,0.042,0,0.1,0,0,0
"P09_imputada_votan","Unión por la Patria",0.32,0.291,0.167,0.166,0.19,0.687,0.31,0.372,0.687,0.481
"P09_imputada_votan","Juntos por el Cambio",0.441,0.445,0.46,0.612,0.379,0.173,0.384,0.533,0.158,0.289
"P09_imputada_votan","De los liberales libertarios",0.163,0.142,0.268,0.124,0.431,0.039,0.054,0,0.086,0.126
"P09_imputada_votan","De la Izquierda",0.038,0.027,0.035,0.032,0,0.085,0.043,0.095,0.057,0
"P09_imputada_votan","Hacemos por nuestro país",0,0,0,0,0,0,0,0,0,0
"P09_imputada_votan","Otro",0.022,0.068,0.035,0.046,0,0.016,0.075,0,0.012,0.042
"P09_imputada_votan","En blanco",0.016,0.027,0.035,0.02,0,0,0.134,0,0,0.062
"P12_imputada_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.211,0.193,0.123,0.15,0.086,0.487,0.338,0.183,0.417,0.357
"P12_imputada_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.089,0.125,0.078,0.049,0.106,0.199,0,0.081,0.262,0.23
"P12_imputada_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.27,0.111,0.352,0.414,0.386,0.067,0.09,0.628,0.106,0.11
"P12_imputada_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.21,0.288,0.109,0.193,0,0.099,0.342,0.108,0.06,0.073
"P12_imputada_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.156,0.13,0.272,0.12,0.422,0.03,0.144,0,0.086,0.122
"P12_imputada_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.01,0.058,0.021,0,0,0.066,0,0,0.02,0.063
"P12_imputada_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0,0.01,0.014,0,0.016,0.051,0,0,0
"P12_imputada_votan","Otros",0.037,0.068,0.032,0.054,0,0.016,0.035,0,0.026,0.045
"P12_imputada_votan","En blanco",0.011,0.027,0.003,0.006,0,0.02,0,0,0.023,0
"P15_imputada_votan","Union por la Patria",0.353,0.325,0.234,0.201,0.2,0.729,0.396,0.267,0.727,0.505
"P15_imputada_votan","Cambiemos",0.458,0.418,0.483,0.642,0.247,0.212,0.437,0.529,0.195,0.348
"P15_imputada_votan","Liberales",0.151,0.155,0.259,0.122,0.553,0.009,0.125,0,0.054,0.077
"P15_imputada_votan","Izquierda",0.038,0.102,0.024,0.035,0,0.05,0.042,0.204,0.024,0.07
"P16_imputada_votan","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.326,0.316,0.131,0.196,0.155,0.694,0.255,0.267,0.615,0.471
"P16_imputada_votan","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.32,0.234,0.418,0.493,0.598,0.04,0.21,0.528,0.099,0.076
"P16_imputada_votan","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.175,0.239,0.172,0.164,0.049,0.166,0.195,0.107,0.195,0.348
"P16_imputada_votan","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.105,0.165,0.168,0.066,0.049,0.02,0.164,0,0.053,0
"P16_imputada_votan","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.008,0.028,0.093,0.014,0.107,0.06,0.04,0.098,0.024,0.105
