"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.292,0.284,0.298,0.277,0.338,0.295,0.227,0.27,0.243,0.338,0.649,0.097,0.325
"Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.315,0.303,0.325,0.284,0.239,0.36,0.442,0.259,0.358,0.302,0.092,0.486,0.121
"Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.186,0.147,0.219,0.124,0.208,0.231,0.181,0.158,0.161,0.216,0.103,0.239,0.204
"Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.106,0.154,0.066,0.156,0.126,0.044,0.068,0.206,0.109,0.066,0.05,0.124,0.155
"Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.049,0.058,0.042,0.059,0.05,0.044,0.041,0.054,0.062,0.038,0.028,0.038,0.042
"Otros",0.033,0.039,0.027,0.069,0.019,0.019,0.024,0.039,0.029,0.033,0.04,0.01,0.153
"En blanco",0.019,0.015,0.023,0.031,0.02,0.007,0.017,0.014,0.038,0.007,0.038,0.006,0
