"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco"
"P22_votan","Totalmente seguro.",0.713,0.646,0.544,0.59,0.724,0.677,0.641,0.368,0.661
"P22_votan","Bastante seguro",0.179,0.159,0.251,0.219,0.141,0.053,0.111,0.114,0
"P22_votan","Algo seguro",0.07,0.069,0.136,0.111,0.045,0.094,0.08,0,0.266
"P22_votan","Para nada seguro",0.038,0.126,0.069,0.08,0.09,0.176,0.168,0.518,0.073
"P23_votan","Tiene Decidido que va a ir a votar.",0.947,0.92,0.947,0.93,0.918,0.818,0.883,0.854,0.865
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.053,0.08,0.053,0.07,0.082,0.182,0.117,0.146,0.135
"P34_votan","Inflación",0.31,0.273,0.317,0.416,0.3,0.158,0.205,0.323,0.354
"P34_votan","Desempleo",0.054,0.073,0.025,0.109,0.048,0.175,0,0.114,0.161
"P34_votan","Corrupción",0.149,0.194,0.341,0.178,0.429,0.272,0.31,0.229,0.087
"P34_votan","Inseguridad",0.096,0.064,0.211,0.166,0.099,0,0.222,0.204,0.081
"P34_votan","Precio del dólar",0.007,0.017,0.024,0,0.042,0,0,0,0
"P34_votan","Pobreza",0.184,0.156,0.02,0.05,0.015,0.265,0.153,0.037,0.161
"P34_votan","Narcotráfico",0.029,0,0.006,0.04,0.016,0,0.11,0.018,0
"P34_votan","Tarifas",0.007,0.007,0.021,0.006,0,0,0,0,0
"P34_votan","Otro",0.129,0.169,0.026,0.025,0.035,0.065,0,0.049,0.156
"P34_votan","No sabe",0.035,0.047,0.009,0.01,0.016,0.065,0,0.026,0
