"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco"
"P22","Totalmente seguro.",0.711,0.614,0.541,0.553,0.713,0.678,0.472,0.354,0.579
"P22","Bastante seguro",0.177,0.15,0.246,0.21,0.138,0.051,0.083,0.112,0
"P22","Algo seguro",0.074,0.111,0.139,0.135,0.045,0.095,0.061,0.042,0.149
"P22","Para nada seguro",0.038,0.125,0.074,0.102,0.104,0.176,0.384,0.492,0.272
"P23","Tiene Decidido que va a ir a votar.",0.938,0.856,0.929,0.872,0.895,0.819,0.654,0.82,0.484
"P23","Tiene dudas sobre si va a ir a  votar",0.053,0.073,0.052,0.066,0.082,0.181,0.089,0.138,0.076
"P23","Tiene Decidido que no va a ir a votar",0.009,0.071,0.019,0.062,0.023,0,0.257,0.042,0.44
"P34","Inflación",0.316,0.276,0.312,0.399,0.306,0.159,0.129,0.315,0.368
"P34","Desempleo",0.054,0.112,0.025,0.108,0.047,0.177,0,0.111,0.109
"P34","Corrupción",0.146,0.179,0.344,0.177,0.423,0.268,0.205,0.223,0.168
"P34","Inseguridad",0.095,0.069,0.208,0.16,0.103,0,0.146,0.198,0.055
"P34","Precio del dólar",0.007,0.015,0.024,0.024,0.04,0,0.348,0,0
"P34","Pobreza",0.183,0.144,0.026,0.055,0.015,0.266,0.099,0.061,0.196
"P34","Narcotráfico",0.03,0,0.006,0.038,0.016,0,0.073,0.018,0
"P34","Tarifas",0.007,0.006,0.021,0.006,0,0,0,0,0
"P34","Otro",0.127,0.156,0.026,0.024,0.034,0.065,0,0.048,0.104
"P34","No sabe",0.035,0.043,0.008,0.009,0.016,0.065,0,0.026,0
