"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P22","Totalmente seguro.",0.648,0.596,0.716,0.417,0,0.486,0.385
"P22","Bastante seguro",0.193,0.22,0.099,0.15,0,0.213,0.053
"P22","Algo seguro",0.081,0.119,0.079,0.205,0,0.048,0.076
"P22","Para nada seguro",0.078,0.065,0.106,0.228,1,0.253,0.486
"P23","Tiene Decidido que va a ir a votar.",0.932,0.917,0.904,0.751,0.468,0.937,0.383
"P23","Tiene dudas sobre si va a ir a  votar",0.058,0.063,0.05,0.14,0,0.041,0.202
"P23","Tiene Decidido que no va a ir a votar",0.01,0.02,0.046,0.109,0.532,0.022,0.415
"P34","Inflación",0.328,0.334,0.312,0.302,0,0.228,0.186
"P34","Desempleo",0.059,0.064,0.074,0.042,0,0.129,0.042
"P34","Corrupción",0.139,0.285,0.404,0.232,0,0.309,0.276
"P34","Inseguridad",0.073,0.198,0.098,0.109,0,0.196,0.117
"P34","Precio del dólar",0.01,0.015,0.04,0,0,0,0.221
"P34","Pobreza",0.181,0.037,0.018,0.176,1,0.042,0.058
"P34","Narcotráfico",0.019,0.017,0.006,0.02,0,0.044,0.066
"P34","Tarifas",0.011,0.011,0,0.022,0,0,0
"P34","Otro",0.147,0.025,0.033,0.097,0,0.025,0
"P34","No sabe",0.033,0.014,0.015,0,0,0.027,0.034
