"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P12_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.557,0.041,0.12,0.022,0.085,0.018,0.089,0.074
"P12_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.252,0.041,0.036,0.11,0,0.013,0,0.017
"P12_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.525,0.1,0.18,0,0.039,0.084,0.028
"P12_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.04,0.312,0.011,0.048,0.112,0,0.019,0.05
"P12_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.051,0.054,0.693,0.137,0.467,0.142,0.07,0.121
"P12_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.008,0.003,0,0.347,0,0.162,0.027,0.016
"P12_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0.002,0.006,0.077,0.102,0.038,0.165,0.014
"P12_votan","Otros",0,0.002,0.01,0.079,0.234,0.572,0.099,0.28
"P12_votan","En blanco",0.013,0.005,0.005,0,0,0.016,0.368,0.031
"P12_votan","No sabe",0.011,0.015,0.019,0,0,0,0.079,0.369
"P15_votan","Union por la Patria",0.78,0.099,0.123,0.205,0,0.236,0.181,0.073
"P15_votan","Cambiemos",0.112,0.774,0.213,0.101,0.133,0.251,0.052,0.194
"P15_votan","Liberales",0.024,0.08,0.542,0.169,0.375,0.051,0.295,0.034
"P15_votan","Izquierda",0.034,0.013,0.006,0.487,0,0.018,0.017,0.023
"P15_votan","No sabe",0.05,0.034,0.116,0.038,0.492,0.444,0.455,0.676
"P16_votan","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.72,0.081,0.111,0.223,0,0.207,0.119,0.153
"P16_votan","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.08,0.569,0.233,0.086,0,0.168,0.248,0.039
"P16_votan","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.088,0.279,0.113,0.123,0,0.113,0.166,0.151
"P16_votan","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.043,0.029,0.4,0.28,0,0.053,0.058,0.044
"P16_votan","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.014,0.006,0.074,0.268,1,0.065,0.304,0.1
"P16_votan","Otros",0.018,0.014,0.011,0.02,0,0.346,0,0.228
"P16_votan","En blanco",0.009,0.015,0.012,0,0,0.022,0.062,0
"P16_votan","No sabe",0.028,0.007,0.046,0,0,0.026,0.043,0.285
"P22_votan","Totalmente seguro.",0.673,0.614,0.759,0.541,0,0.541,0.534,0.126
"P22_votan","Bastante seguro",0.198,0.229,0.101,0.195,0,0.238,0.096,0.073
"P22_votan","Algo seguro",0.069,0.111,0.058,0.152,0,0.054,0.11,0.126
"P22_votan","Para nada seguro",0.06,0.046,0.082,0.112,1,0.167,0.26,0.675
"P23_votan","Tiene Decidido que va a ir a votar.",0.947,0.937,0.956,0.835,0,0.975,0.633,0.848
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.053,0.063,0.044,0.165,0,0.025,0.367,0.152
"P34_votan","Inflación",0.331,0.343,0.307,0.204,0,0.259,0.232,0.246
"P34_votan","Desempleo",0.059,0.062,0.053,0.047,0,0.085,0.072,0.093
"P34_votan","Corrupción",0.14,0.29,0.42,0.266,0,0.327,0.404,0.135
"P34_votan","Inseguridad",0.063,0.198,0.099,0.127,0,0.228,0.121,0.235
"P34_votan","Precio del dólar",0.011,0.015,0.044,0,0,0,0,0
"P34_votan","Pobreza",0.188,0.027,0.02,0.199,0,0.048,0,0.086
"P34_votan","Narcotráfico",0.011,0.018,0.006,0.023,0,0.024,0.112,0.093
"P34_votan","Tarifas",0.011,0.012,0,0.024,0,0,0,0
"P34_votan","Otro",0.152,0.026,0.035,0.11,0,0.029,0,0.019
"P34_votan","No sabe",0.034,0.009,0.016,0,0,0,0.059,0.093
