"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora",0.334,0.333,0.335,0.328,0.339,0.339,0.32,0.294,0.403,0.253,0.342,0.327
"“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora",0.403,0.388,0.417,0.408,0.419,0.368,0.387,0.46,0.385,0.36,0.426,0.384
"Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora",0.092,0.098,0.086,0.074,0.077,0.116,0.167,0.105,0.076,0.104,0.044,0.132
"Pablo Cervi a gobernador y Jorge Taylor a vicegobernador",0.031,0.029,0.033,0.025,0.028,0.028,0.067,0.016,0.023,0.068,0.027,0.035
"Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora",0.068,0.09,0.048,0.075,0.08,0.057,0.017,0.053,0.063,0.1,0.082,0.056
"Patricia Jure a gobernadora y Raúl Godoy a vicegobernador",0.033,0.039,0.027,0.038,0.038,0.028,0.01,0.024,0.019,0.074,0.034,0.032
"En blanco",0.039,0.023,0.054,0.052,0.019,0.064,0.032,0.048,0.031,0.041,0.045,0.034
