"var","categoria","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador","En blanco","No sabe"
"P07","Lo votaría",0.631,0.147,0.084,0.06,0.154,0.138,0.135,0.048
"P07","Puede que lo vote",0.206,0.155,0.203,0.106,0.083,0.089,0.128,0.08
"P07","Nunca lo votaría",0.117,0.629,0.595,0.584,0.664,0.676,0.358,0.298
"P07","No sabe",0.046,0.069,0.118,0.25,0.099,0.097,0.379,0.574
"P08","Lo votaría",0.178,0.721,0.132,0.079,0.071,0,0.142,0.052
"P08","Puede que lo vote",0.179,0.137,0.231,0.186,0.156,0.126,0.174,0.063
"P08","Nunca lo votaría",0.571,0.126,0.498,0.654,0.679,0.75,0.437,0.384
"P08","No sabe",0.072,0.016,0.139,0.081,0.094,0.124,0.247,0.501
"P09","Lo votaría",0.115,0.149,0.771,0.013,0.113,0.15,0.07,0.014
"P09","Puede que lo vote",0.171,0.171,0.072,0.098,0.042,0.121,0.083,0.045
"P09","Nunca lo votaría",0.622,0.604,0.111,0.851,0.76,0.729,0.606,0.497
"P09","No sabe",0.092,0.076,0.046,0.038,0.085,0,0.241,0.444
"P10","Lo votaría",0.082,0.077,0.101,0.672,0.067,0,0,0.037
"P10","Puede que lo vote",0.11,0.199,0.116,0.21,0.155,0.047,0.019,0.092
"P10","Nunca lo votaría",0.671,0.651,0.576,0.081,0.688,0.928,0.727,0.358
"P10","No sabe",0.137,0.073,0.207,0.037,0.09,0.025,0.254,0.513
"P11","Lo votaría",0.068,0.067,0.058,0.177,0.828,0,0.034,0.085
"P11","Puede que lo vote",0.147,0.195,0.149,0.2,0.106,0.036,0,0.115
"P11","Nunca lo votaría",0.659,0.663,0.567,0.623,0.05,0.964,0.687,0.293
"P11","No sabe",0.126,0.075,0.226,0,0.016,0,0.279,0.507
