"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora",0.308,0.306,0.309,0.295,0.313,0.316,0.312,0.277,0.364,0.241,0.314,0.302
"“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora",0.343,0.34,0.346,0.327,0.357,0.337,0.352,0.366,0.328,0.343,0.356,0.332
"Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora",0.084,0.096,0.073,0.064,0.075,0.104,0.149,0.096,0.069,0.097,0.044,0.118
"Pablo Cervi a gobernador y Jorge Taylor a vicegobernador",0.03,0.027,0.033,0.025,0.028,0.028,0.057,0.012,0.022,0.068,0.027,0.033
"Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora",0.062,0.082,0.044,0.075,0.067,0.054,0.017,0.045,0.062,0.088,0.075,0.052
"Patricia Jure a gobernadora y Raúl Godoy a vicegobernador",0.03,0.032,0.027,0.033,0.032,0.028,0.01,0.024,0.014,0.068,0.029,0.03
"En blanco",0.035,0.021,0.049,0.052,0.019,0.044,0.032,0.048,0.023,0.041,0.043,0.028
"No sabe",0.108,0.096,0.119,0.129,0.109,0.089,0.071,0.132,0.118,0.054,0.112,0.105
