"var","categoria","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador","En blanco"
"P07","Lo votaría",0.593,0.137,0.076,0.058,0.143,0.15,0.134
"P07","Puede que lo vote",0.2,0.142,0.194,0.102,0.099,0.08,0.113
"P07","Nunca lo votaría",0.118,0.602,0.543,0.599,0.647,0.609,0.346
"P07","No sabe",0.089,0.119,0.187,0.241,0.111,0.161,0.407
"P08","Lo votaría",0.174,0.643,0.12,0.077,0.068,0,0.129
"P08","Puede que lo vote",0.173,0.124,0.223,0.179,0.164,0.116,0.158
"P08","Nunca lo votaría",0.547,0.169,0.488,0.666,0.676,0.691,0.398
"P08","No sabe",0.106,0.064,0.169,0.078,0.092,0.193,0.315
"P09","Lo votaría",0.11,0.134,0.694,0.013,0.109,0.142,0.063
"P09","Puede que lo vote",0.16,0.155,0.074,0.094,0.041,0.114,0.107
"P09","Nunca lo votaría",0.599,0.603,0.167,0.857,0.754,0.688,0.547
"P09","No sabe",0.131,0.108,0.065,0.036,0.096,0.056,0.283
"P10","Lo votaría",0.077,0.076,0.09,0.648,0.066,0,0
"P10","Puede que lo vote",0.109,0.182,0.114,0.202,0.175,0.044,0.05
"P10","Nunca lo votaría",0.639,0.64,0.513,0.114,0.671,0.875,0.654
"P10","No sabe",0.175,0.102,0.283,0.036,0.088,0.081,0.296
"P11","Lo votaría",0.064,0.076,0.054,0.171,0.809,0,0.031
"P11","Puede que lo vote",0.144,0.185,0.153,0.192,0.103,0.033,0.034
"P11","Nunca lo votaría",0.632,0.634,0.526,0.637,0.049,0.909,0.616
"P11","No sabe",0.16,0.105,0.267,0,0.039,0.058,0.319
