"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.469,0.453,0.483,0.43,0.505,0.487,0.425,0.544,0.438,0.427,0.791,0.152,0.484,0.407,0.475,0.436,0.523,0.892,0.158,0.098,0.432,0.269
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.469,0.489,0.451,0.501,0.441,0.459,0.494,0.41,0.487,0.51,0.18,0.784,0.437,0.514,0.483,0.528,0.415,0.091,0.743,0.867,0.34,0.608
"En blanco",0.062,0.058,0.066,0.069,0.054,0.054,0.081,0.046,0.075,0.063,0.029,0.064,0.079,0.079,0.042,0.036,0.062,0.017,0.099,0.035,0.228,0.123
