"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.445,0.434,0.456,0.401,0.48,0.468,0.403,0.513,0.411,0.416,0.771,0.145,0.426,0.384,0.446,0.416,0.5,0.871,0.148,0.088,0.299,0.214
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.441,0.467,0.416,0.486,0.415,0.421,0.452,0.386,0.452,0.487,0.171,0.738,0.412,0.48,0.459,0.507,0.388,0.088,0.682,0.845,0.277,0.564
"En blanco",0.055,0.053,0.057,0.065,0.045,0.049,0.073,0.042,0.067,0.053,0.028,0.055,0.076,0.069,0.037,0.031,0.056,0.018,0.088,0.033,0.174,0.107
"No sabe",0.059,0.046,0.071,0.048,0.06,0.062,0.072,0.059,0.07,0.044,0.03,0.062,0.086,0.067,0.058,0.046,0.056,0.023,0.082,0.034,0.25,0.115
