"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad"
"Gustavo Valdés","Muy buena",0.319,0.309,0.329,0.319,0.277,0.32,0.44,0.332,0.296,0.335,0.428,0.162,0.258,0.398,0.354,0.299
"Gustavo Valdés","Buena",0.25,0.248,0.251,0.23,0.26,0.285,0.208,0.259,0.23,0.268,0.252,0.204,0.192,0.271,0.246,0.252
"Gustavo Valdés","Ni buena ni mala",0.281,0.292,0.271,0.305,0.277,0.265,0.267,0.266,0.313,0.253,0.23,0.36,0.302,0.25,0.276,0.284
"Gustavo Valdés","Mala",0.101,0.1,0.102,0.077,0.137,0.102,0.049,0.1,0.101,0.104,0.066,0.176,0.162,0.058,0.078,0.115
"Gustavo Valdés","Muy mala",0.038,0.032,0.043,0.05,0.038,0.023,0.032,0.036,0.039,0.037,0.015,0.087,0.065,0.021,0.042,0.034
"Gustavo Valdés","No sabe",0.011,0.019,0.004,0.019,0.011,0.005,0.004,0.007,0.021,0.003,0.009,0.011,0.021,0.002,0.004,0.016
"Patricia Bullrich","Muy buena",0.293,0.278,0.307,0.23,0.273,0.378,0.335,0.25,0.275,0.391,0.37,0.182,0.074,0.447,0.319,0.277
"Patricia Bullrich","Buena",0.221,0.249,0.193,0.254,0.216,0.175,0.243,0.213,0.213,0.244,0.264,0.137,0.092,0.314,0.191,0.239
"Patricia Bullrich","Ni buena ni mala",0.178,0.16,0.196,0.247,0.152,0.165,0.142,0.184,0.202,0.132,0.169,0.176,0.169,0.158,0.201,0.164
"Patricia Bullrich","Mala",0.144,0.159,0.131,0.108,0.16,0.175,0.12,0.18,0.133,0.104,0.094,0.209,0.304,0.052,0.149,0.142
"Patricia Bullrich","Muy mala",0.144,0.141,0.147,0.137,0.175,0.103,0.139,0.153,0.148,0.125,0.098,0.262,0.348,0.025,0.125,0.156
"Patricia Bullrich","No sabe",0.02,0.013,0.026,0.024,0.024,0.004,0.021,0.02,0.029,0.004,0.005,0.034,0.013,0.004,0.015,0.022
"Ricardo Colombi","Muy buena",0.192,0.193,0.191,0.101,0.209,0.24,0.233,0.242,0.19,0.113,0.228,0.179,0.201,0.209,0.158,0.213
"Ricardo Colombi","Buena",0.169,0.195,0.145,0.119,0.15,0.197,0.27,0.16,0.139,0.231,0.212,0.087,0.156,0.196,0.182,0.162
"Ricardo Colombi","Ni buena ni mala",0.333,0.288,0.376,0.398,0.331,0.285,0.3,0.33,0.357,0.303,0.322,0.326,0.333,0.305,0.372,0.309
"Ricardo Colombi","Mala",0.193,0.211,0.177,0.226,0.201,0.196,0.105,0.157,0.194,0.25,0.156,0.245,0.19,0.177,0.204,0.186
"Ricardo Colombi","Muy mala",0.071,0.078,0.063,0.096,0.054,0.066,0.078,0.067,0.061,0.092,0.046,0.124,0.077,0.077,0.058,0.078
"Ricardo Colombi","No sabe",0.042,0.035,0.048,0.06,0.055,0.016,0.014,0.044,0.059,0.011,0.036,0.039,0.043,0.036,0.026,0.052
"Javier Milei","Muy buena",0.266,0.293,0.241,0.272,0.231,0.338,0.239,0.197,0.269,0.374,0.337,0.173,0.084,0.391,0.252,0.275
"Javier Milei","Buena",0.173,0.153,0.192,0.174,0.157,0.155,0.245,0.172,0.141,0.225,0.196,0.085,0.088,0.243,0.197,0.158
"Javier Milei","Ni buena ni mala",0.207,0.206,0.207,0.239,0.203,0.198,0.171,0.277,0.18,0.136,0.212,0.16,0.201,0.18,0.25,0.18
"Javier Milei","Mala",0.172,0.186,0.158,0.117,0.204,0.181,0.167,0.195,0.18,0.12,0.131,0.273,0.294,0.1,0.154,0.183
"Javier Milei","Muy mala",0.167,0.151,0.183,0.175,0.183,0.128,0.172,0.146,0.205,0.141,0.124,0.297,0.322,0.084,0.135,0.187
"Javier Milei","No sabe",0.015,0.011,0.019,0.023,0.022,0,0.006,0.013,0.025,0.004,0,0.012,0.011,0.002,0.012,0.017
"Noelia Bassi","Muy buena",0.087,0.096,0.077,0.119,0.066,0.074,0.103,0.123,0.063,0.065,0.093,0.105,0.094,0.089,0.054,0.106
"Noelia Bassi","Buena",0.121,0.124,0.119,0.092,0.139,0.125,0.12,0.146,0.1,0.113,0.132,0.109,0.127,0.128,0.14,0.109
"Noelia Bassi","Ni buena ni mala",0.461,0.442,0.48,0.414,0.439,0.515,0.527,0.43,0.509,0.438,0.49,0.394,0.446,0.48,0.496,0.441
"Noelia Bassi","Mala",0.156,0.169,0.144,0.22,0.172,0.101,0.077,0.132,0.155,0.196,0.133,0.185,0.17,0.122,0.169,0.148
"Noelia Bassi","Muy mala",0.049,0.065,0.034,0.048,0.054,0.044,0.048,0.063,0.037,0.046,0.031,0.082,0.049,0.051,0.04,0.055
"Noelia Bassi","No sabe",0.126,0.104,0.146,0.107,0.13,0.141,0.125,0.106,0.136,0.142,0.121,0.125,0.114,0.13,0.101,0.141
