"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad"
"Camau Espinola por Unión por la patria",0.102,0.116,0.09,0.121,0.119,0.079,0.051,0.124,0.117,0.037,0.062,0.185,0.179,0.049,0.117,0.093
"German Brailard por Unión por la patria",0.042,0.039,0.045,0.052,0.029,0.058,0.038,0.046,0.053,0.019,0.042,0.061,0.058,0.036,0.039,0.044
"Pitin Aragon por Unión por la patria",0.071,0.081,0.061,0.076,0.071,0.055,0.084,0.102,0.049,0.052,0.05,0.133,0.119,0.054,0.078,0.066
"Tincho Ascua por Unión por la patria",0.056,0.071,0.043,0.065,0.047,0.061,0.056,0.077,0.044,0.039,0.035,0.089,0.089,0.034,0.031,0.072
"Emiliano Fernandez por Unión por la patria",0.045,0.044,0.046,0.053,0.05,0.017,0.054,0.061,0.039,0.024,0.039,0.038,0.046,0.033,0.045,0.045
"Juan Pablo Valdes por Juntos por el cambio",0.231,0.215,0.245,0.259,0.195,0.233,0.27,0.224,0.241,0.225,0.287,0.174,0.155,0.269,0.234,0.229
"Eduardo Tassano por Juntos por el cambio",0.062,0.061,0.064,0.058,0.064,0.066,0.058,0.055,0.067,0.067,0.065,0.054,0.05,0.075,0.07,0.058
"Ricardo Colombi por Juntos por el cambio",0.157,0.174,0.141,0.081,0.204,0.168,0.167,0.15,0.156,0.171,0.204,0.092,0.146,0.183,0.146,0.163
"Noelia Bassi por Juntos por el cambio",0.043,0.033,0.052,0.041,0.029,0.054,0.071,0.025,0.055,0.055,0.042,0.037,0.019,0.059,0.032,0.05
"No sabe",0.191,0.166,0.213,0.194,0.192,0.209,0.151,0.136,0.179,0.311,0.174,0.137,0.139,0.208,0.208,0.18
