"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.037,0.045,0.029,0.063,0.031,0.021,0.031,0.053,0.023,0.035,0.027,0.068,0.068,0.024,0.05,0.029,6
"Buena",0.097,0.104,0.089,0.025,0.115,0.12,0.141,0.142,0.066,0.07,0.08,0.126,0.18,0.062,0.134,0.073,6
"Ni buena ni mala",0.467,0.414,0.518,0.49,0.445,0.473,0.48,0.408,0.546,0.439,0.52,0.348,0.47,0.458,0.48,0.46,6
"Mala",0.212,0.263,0.165,0.229,0.197,0.209,0.228,0.216,0.193,0.237,0.218,0.223,0.124,0.258,0.186,0.228,6
"Muy mala",0.07,0.076,0.064,0.09,0.077,0.057,0.029,0.069,0.043,0.112,0.064,0.082,0.055,0.089,0.064,0.073,6
"No sabe",0.117,0.098,0.135,0.103,0.135,0.12,0.091,0.112,0.129,0.107,0.091,0.153,0.103,0.109,0.086,0.137,6
"Positiva",0.134,0.149,0.118,0.088,0.146,0.141,0.172,0.195,0.089,0.105,0.107,0.194,0.248,0.086,0.184,0.102,4
"Neutra",0.467,0.414,0.518,0.49,0.445,0.473,0.48,0.408,0.546,0.439,0.52,0.348,0.47,0.458,0.48,0.46,4
"Negativa",0.282,0.339,0.229,0.319,0.274,0.266,0.257,0.285,0.236,0.349,0.282,0.305,0.179,0.347,0.25,0.301,4
"No sabe",0.117,0.098,0.135,0.103,0.135,0.12,0.091,0.112,0.129,0.107,0.091,0.153,0.103,0.109,0.086,0.137,4
