"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad"
"Lo votaría",0.103,0.104,0.102,0.139,0.085,0.098,0.083,0.142,0.092,0.052,0.102,0.085,0.156,0.063,0.156,0.071
"Puede que lo vote",0.243,0.238,0.248,0.272,0.247,0.211,0.222,0.272,0.235,0.206,0.242,0.25,0.331,0.207,0.254,0.237
"Nunca lo votaría",0.462,0.483,0.442,0.385,0.479,0.499,0.516,0.388,0.464,0.591,0.493,0.456,0.346,0.56,0.424,0.484
"No sabe",0.192,0.175,0.208,0.204,0.189,0.192,0.179,0.198,0.209,0.151,0.163,0.209,0.167,0.17,0.166,0.208
