"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad"
"Gustavo Valdés","Positiva",0.569,0.557,0.58,0.549,0.537,0.605,0.648,0.591,0.526,0.603,0.68,0.366,0.45,0.669,0.6,0.551
"Gustavo Valdés","Neutra",0.281,0.292,0.271,0.305,0.277,0.265,0.267,0.266,0.313,0.253,0.23,0.36,0.302,0.25,0.276,0.284
"Gustavo Valdés","Negativa",0.139,0.132,0.145,0.127,0.175,0.125,0.081,0.136,0.14,0.141,0.081,0.263,0.227,0.079,0.12,0.149
"Gustavo Valdés","No sabe",0.011,0.019,0.004,0.019,0.011,0.005,0.004,0.007,0.021,0.003,0.009,0.011,0.021,0.002,0.004,0.016
"Patricia Bullrich","Positiva",0.514,0.527,0.5,0.484,0.489,0.553,0.578,0.463,0.488,0.635,0.634,0.319,0.166,0.761,0.51,0.516
"Patricia Bullrich","Neutra",0.178,0.16,0.196,0.247,0.152,0.165,0.142,0.184,0.202,0.132,0.169,0.176,0.169,0.158,0.201,0.164
"Patricia Bullrich","Negativa",0.288,0.3,0.278,0.245,0.335,0.278,0.259,0.333,0.281,0.229,0.192,0.471,0.652,0.077,0.274,0.298
"Patricia Bullrich","No sabe",0.02,0.013,0.026,0.024,0.024,0.004,0.021,0.02,0.029,0.004,0.005,0.034,0.013,0.004,0.015,0.022
"Javier Milei","Positiva",0.439,0.446,0.433,0.446,0.388,0.493,0.484,0.369,0.41,0.599,0.533,0.258,0.172,0.634,0.449,0.433
"Javier Milei","Neutra",0.207,0.206,0.207,0.239,0.203,0.198,0.171,0.277,0.18,0.136,0.212,0.16,0.201,0.18,0.25,0.18
"Javier Milei","Negativa",0.339,0.337,0.341,0.292,0.387,0.309,0.339,0.341,0.385,0.261,0.255,0.57,0.616,0.184,0.289,0.37
"Javier Milei","No sabe",0.015,0.011,0.019,0.023,0.022,0,0.006,0.013,0.025,0.004,0,0.012,0.011,0.002,0.012,0.017
"Ricardo Colombi","Positiva",0.361,0.388,0.336,0.22,0.359,0.437,0.503,0.402,0.329,0.344,0.44,0.266,0.357,0.405,0.34,0.375
"Ricardo Colombi","Neutra",0.333,0.288,0.376,0.398,0.331,0.285,0.3,0.33,0.357,0.303,0.322,0.326,0.333,0.305,0.372,0.309
"Ricardo Colombi","Negativa",0.264,0.289,0.24,0.322,0.255,0.262,0.183,0.224,0.255,0.342,0.202,0.369,0.267,0.254,0.262,0.264
"Ricardo Colombi","No sabe",0.042,0.035,0.048,0.06,0.055,0.016,0.014,0.044,0.059,0.011,0.036,0.039,0.043,0.036,0.026,0.052
"Mauricio Macri","Positiva",0.353,0.36,0.346,0.302,0.33,0.383,0.463,0.335,0.311,0.447,0.423,0.241,0.201,0.489,0.35,0.355
"Mauricio Macri","Neutra",0.249,0.259,0.239,0.322,0.214,0.243,0.221,0.251,0.272,0.208,0.278,0.184,0.208,0.289,0.302,0.216
"Mauricio Macri","Negativa",0.363,0.355,0.372,0.347,0.406,0.349,0.297,0.363,0.384,0.332,0.273,0.532,0.551,0.203,0.326,0.386
"Mauricio Macri","No sabe",0.035,0.026,0.043,0.029,0.05,0.025,0.019,0.051,0.033,0.013,0.026,0.043,0.04,0.019,0.022,0.043
"CFK","Positiva",0.295,0.326,0.267,0.243,0.345,0.286,0.272,0.433,0.227,0.18,0.21,0.511,0.667,0.109,0.285,0.302
"CFK","Neutra",0.216,0.227,0.206,0.228,0.216,0.198,0.219,0.227,0.253,0.138,0.227,0.15,0.156,0.239,0.279,0.177
