"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad"
"El gobierno nacional",0.261,0.259,0.263,0.246,0.252,0.276,0.299,0.294,0.266,0.193,0.296,0.217,0.322,0.243,0.307,0.233
"El gobierno provincial",0.406,0.421,0.392,0.421,0.42,0.4,0.342,0.341,0.388,0.556,0.359,0.536,0.444,0.404,0.338,0.447
"No sabe",0.333,0.32,0.345,0.333,0.328,0.324,0.359,0.365,0.346,0.251,0.345,0.247,0.234,0.353,0.355,0.32
