"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad"
"El gobierno nacional",0.137,0.134,0.139,0.138,0.126,0.122,0.186,0.146,0.153,0.093,0.14,0.123,0.181,0.119,0.139,0.135
"El gobierno provincial",0.457,0.483,0.433,0.493,0.499,0.415,0.326,0.451,0.417,0.535,0.398,0.566,0.533,0.402,0.411,0.485
"No sabe",0.406,0.383,0.428,0.369,0.375,0.463,0.488,0.403,0.43,0.372,0.462,0.311,0.286,0.479,0.45,0.38
