"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad"
"Lo votaría",0.074,0.087,0.063,0.058,0.078,0.075,0.1,0.093,0.057,0.07,0.08,0.066,0.108,0.05,0.059,0.084
"Puede que lo vote",0.204,0.211,0.198,0.241,0.211,0.159,0.172,0.237,0.229,0.101,0.145,0.353,0.334,0.122,0.168,0.226
"Nunca lo votaría",0.514,0.517,0.511,0.478,0.519,0.537,0.541,0.441,0.498,0.675,0.583,0.419,0.37,0.649,0.552,0.491
"No sabe",0.208,0.185,0.228,0.223,0.192,0.229,0.187,0.229,0.216,0.154,0.192,0.162,0.188,0.179,0.221,0.199
