"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","A.Kirchner","Belloni","Costa","Vidal","Peralta"
"Siempre",0.212,0.264,0.158,0.184,0.22,0.23,0.258,0.288,0.166,0.21,0.362,0.143,0.079,0.11,0.094
"Casi siempre",0.238,0.238,0.238,0.137,0.268,0.343,0.315,0.125,0.267,0.344,0.286,0.369,0.158,0.041,0.184
"Casi nunca",0.338,0.332,0.344,0.391,0.331,0.295,0.22,0.336,0.346,0.317,0.26,0.397,0.373,0.415,0.33
"Nunca, pero esta es una excepción",0.212,0.166,0.26,0.288,0.181,0.132,0.207,0.251,0.221,0.129,0.092,0.091,0.39,0.434,0.392
