"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Juan Grabois a presidente y Paula Abal Medina a vicepresidenta por Unión por la Patria","Patricia Bullrich a presidenta y Luis Petri a vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Gerardo Morales a vicepresidente por Juntos por el Cambio","Javier Milei a presidente y Victoria Villarruel a vicepresidenta por la Libertad Avanza","A los candidatos a presidente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.538,0.506,0.434,0.407,0.332,0.292,0.308,0.318
"P05","Bastante",0.268,0.195,0.245,0.205,0.221,0.14,0.229,0.225
"P05","Poco",0.122,0.19,0.216,0.208,0.201,0.325,0.161,0.166
"P05","Nada",0.062,0.101,0.105,0.143,0.222,0.243,0.281,0.178
"P05","No sabe",0.01,0.008,0,0.037,0.024,0,0.021,0.113
"P06","Siempre",0.287,0.166,0.249,0.313,0.159,0.403,0.232,0.121
"P06","Casi siempre",0.298,0.402,0.285,0.274,0.228,0.171,0.153,0.243
"P06","Casi nunca",0.31,0.324,0.303,0.338,0.37,0.234,0.206,0.377
"P06","Nunca, pero esta es una excepción",0.105,0.108,0.163,0.075,0.243,0.192,0.409,0.259
"P08","Unión por la Patria",0.742,0.621,0.1,0.136,0.067,0,0.056,0.103
"P08","Juntos por el Cambio",0.086,0.053,0.655,0.561,0.105,0.053,0,0.108
"P08","De los Liberales libertarios",0.011,0.07,0.111,0.06,0.54,0,0,0.005
"P08","De la Izquierda",0.006,0.05,0.008,0.037,0.025,0.401,0,0.063
"P08","Hacemos por nuestro país",0,0.049,0.012,0.03,0,0.061,0.008,0.026
"P08","Otro",0.044,0.069,0.082,0.069,0.029,0.39,0.092,0.095
"P08","En blanco",0.015,0.049,0.014,0.008,0.104,0.036,0.592,0.023
"P08","No sabe",0.096,0.039,0.018,0.099,0.13,0.059,0.252,0.577
"P12","Pablo Grasso a gobernador y Javier Castro a vicegobernador dentro del lema de Unión por la Patria",0.396,0.358,0.048,0.08,0.089,0.362,0.231,0.203
"P12","Javier Belloni a gobernador y Fernando Cotillo a vicegobernador dentro del lema de Unión por la Patria",0.393,0.252,0.072,0.126,0.18,0.02,0.122,0.189
"P12","Guillermo Polke  a gobernador y Miriam Glorgia a vicegobernadora dentro del lema de Unión por la Patria",0.006,0.059,0.021,0.005,0.025,0,0,0.084
"P12","Claudio Vidal a gobernador y Fabián Leguizamón a vicegobernador dentro del lema de por Santa Cruz",0.09,0.14,0.249,0.181,0.262,0.223,0.323,0.169
"P12","Jose Carambia a gobernador y Maria Guerra a vicegobernadora dentro del lema de por Santa Cruz",0.006,0.02,0.026,0.075,0.087,0,0.062,0.018
"P12","A alguno de los otros candidatos a gobernador del lema Por Santa Cruz: Sergio Acevedo, Daniel Gardonio, Mario Markic o Ruben Ferrara",0.011,0.053,0.147,0.282,0.088,0.075,0.036,0.107
"P12","Roxana Reyes a gobernadora y Luis Vera a vicegobernador dentro del lema de Cambia Santa Cruz",0.044,0.07,0.334,0.171,0.093,0.047,0.093,0.012
"P12","Mirey Zeidan a gobernador y Carlos Fernández a vicegobernador dentro del lema de Cambia Santa Cruz",0.027,0.006,0.056,0.019,0.028,0,0,0.028
"P12","Alguno de los candidatos de Izquierda",0,0.042,0.006,0.032,0.037,0.189,0.026,0
"P12","No sabe",0.027,0,0.041,0.029,0.111,0.084,0.107,0.19
"P15","Lo votaría",0.808,0.214,0.076,0.09,0.08,0.037,0.123,0.104
"P15","Puede que lo vote",0.115,0.305,0.039,0.137,0.024,0.183,0.033,0.094
"P15","Nunca lo votaría",0.041,0.391,0.851,0.706,0.803,0.631,0.619,0.353
"P15","No sabe",0.036,0.09,0.034,0.067,0.093,0.149,0.225,0.449
"P16","Lo votaría",0.198,0.708,0.081,0.028,0.074,0.039,0.019,0.065
"P16","Puede que lo vote",0.207,0.09,0.021,0.12,0.026,0.131,0.009,0.07
"P16","Nunca lo votaría",0.45,0.141,0.86,0.774,0.794,0.575,0.809,0.481
"P16","No sabe",0.145,0.061,0.038,0.078,0.106,0.255,0.163,0.384
"P17","Lo votaría",0.026,0.042,0.743,0.125,0.188,0,0,0.029
"P17","Puede que lo vote",0.071,0.218,0.091,0.505,0.216,0.195,0.058,0.104
