"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","A.Kirchner","Belloni","Costa","Vidal","Peralta"
"Si",0.435,0.457,0.412,0.386,0.448,0.48,0.463,0.551,0.388,0.399,0.487,0.483,0.333,0.286,0.711
"No",0.565,0.543,0.588,0.614,0.552,0.52,0.537,0.449,0.612,0.601,0.513,0.517,0.667,0.714,0.289
