"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","A.Kirchner","Belloni","Costa","Vidal","Peralta"
"Pablo Grasso a gobernador y Javier Castro a vicegobernador dentro del lema de Unión por la Patria",0.217,0.254,0.18,0.194,0.26,0.177,0.171,0.228,0.225,0.186,0.256,0.239,0.185,0.127,0.079
"Javier Belloni a gobernador y Fernando Cotillo a vicegobernador dentro del lema de Unión por la Patria",0.219,0.198,0.241,0.207,0.222,0.241,0.195,0.198,0.233,0.211,0.286,0.177,0.151,0.196,0.08
"Guillermo Polke  a gobernador y Miriam Glorgia a vicegobernadora dentro del lema de Unión por la Patria",0.025,0.028,0.022,0.041,0.015,0.022,0.021,0.041,0.021,0.015,0.026,0.022,0.015,0.019,0.133
"Claudio Vidal a gobernador y Fabián Leguizamón a vicegobernador dentro del lema de por Santa Cruz",0.188,0.217,0.157,0.214,0.202,0.15,0.089,0.216,0.185,0.155,0.165,0.215,0.192,0.189,0.266
"Jose Carambia a gobernador y Maria Guerra a vicegobernadora dentro del lema de por Santa Cruz",0.037,0.036,0.039,0.029,0.045,0.019,0.069,0.036,0.043,0.026,0.03,0.049,0.027,0.057,0.036
"A alguno de los otros candidatos a gobernador del lema Por Santa Cruz: Sergio Acevedo, Daniel Gardonio, Mario Markic o Ruben Ferrara",0.086,0.081,0.092,0.029,0.085,0.146,0.191,0.074,0.075,0.13,0.063,0.093,0.104,0.11,0.169
"Roxana Reyes a gobernadora y Luis Vera a vicegobernador dentro del lema de Cambia Santa Cruz",0.11,0.098,0.122,0.138,0.064,0.142,0.18,0.097,0.105,0.139,0.09,0.107,0.176,0.116,0
"Mirey Zeidan a gobernador y Carlos Fernández a vicegobernador dentro del lema de Cambia Santa Cruz",0.027,0.033,0.02,0.012,0.04,0.026,0.016,0.041,0.019,0.028,0.024,0.032,0.029,0.019,0.046
"Alguno de los candidatos de Izquierda",0.022,0.02,0.024,0.037,0.012,0.02,0.021,0.029,0.007,0.049,0.022,0.003,0.026,0.053,0
"No sabe",0.069,0.035,0.103,0.099,0.055,0.057,0.047,0.04,0.087,0.061,0.038,0.063,0.095,0.114,0.191
