"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.362,0.143,0.079,0.11,0.094
"P06","Casi siempre",0.286,0.369,0.158,0.041,0.184
"P06","Casi nunca",0.26,0.397,0.373,0.415,0.33
"P06","Nunca, pero esta es una excepción",0.092,0.091,0.39,0.434,0.392
"P08","Unión por la Patria",0.449,0.332,0.16,0.092,0.104
"P08","Juntos por el Cambio",0.222,0.231,0.187,0.137,0.257
"P08","De los Liberales libertarios",0.12,0.173,0.156,0.183,0.065
"P08","De la Izquierda",0.031,0.014,0.041,0.062,0
"P08","Hacemos por nuestro país",0.008,0.01,0.028,0.008,0.063
"P08","Otro",0.053,0.063,0.138,0.054,0.071
"P08","En blanco",0.026,0.071,0.041,0.219,0
"P08","No sabe",0.091,0.106,0.249,0.245,0.44
"P09","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.356,0.32,0.191,0.121,0.11
"P09","Juan Grabois a presidente y Paula Abal Medina a vicepresidenta por Unión por la Patria",0.101,0.07,0.09,0.059,0.025
"P09","Patricia Bullrich a presidenta y Luis Petri a vicepresidente por Juntos por el Cambio",0.15,0.153,0.176,0.107,0
"P09","Horacio Rodríguez Larreta a presidente y Gerardo Morales a vicepresidente por Juntos por el Cambio",0.077,0.071,0.093,0.081,0.116
"P09","Javier Milei a presidente y Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.176,0.213,0.252,0.348,0.209
"P09","A los candidatos a presidente del Frente de Izquierda",0.018,0.016,0.048,0.045,0
"P09","En blanco",0.036,0.048,0.045,0.097,0.04
"P09","No sabe",0.086,0.109,0.105,0.142,0.5
"P12","Pablo Grasso a gobernador y Javier Castro a vicegobernador dentro del lema de Unión por la Patria",0.256,0.239,0.185,0.127,0.079
"P12","Javier Belloni a gobernador y Fernando Cotillo a vicegobernador dentro del lema de Unión por la Patria",0.286,0.177,0.151,0.196,0.08
"P12","Guillermo Polke  a gobernador y Miriam Glorgia a vicegobernadora dentro del lema de Unión por la Patria",0.026,0.022,0.015,0.019,0.133
"P12","Claudio Vidal a gobernador y Fabián Leguizamón a vicegobernador dentro del lema de por Santa Cruz",0.165,0.215,0.192,0.189,0.266
"P12","Jose Carambia a gobernador y Maria Guerra a vicegobernadora dentro del lema de por Santa Cruz",0.03,0.049,0.027,0.057,0.036
"P12","A alguno de los otros candidatos a gobernador del lema Por Santa Cruz: Sergio Acevedo, Daniel Gardonio, Mario Markic o Ruben Ferrara",0.063,0.093,0.104,0.11,0.169
"P12","Roxana Reyes a gobernadora y Luis Vera a vicegobernador dentro del lema de Cambia Santa Cruz",0.09,0.107,0.176,0.116,0
"P12","Mirey Zeidan a gobernador y Carlos Fernández a vicegobernador dentro del lema de Cambia Santa Cruz",0.024,0.032,0.029,0.019,0.046
"P12","Alguno de los candidatos de Izquierda",0.022,0.003,0.026,0.053,0
"P12","No sabe",0.038,0.063,0.095,0.114,0.191
"P15","Lo votaría",0.417,0.299,0.208,0.06,0.245
"P15","Puede que lo vote",0.121,0.096,0.079,0.047,0.113
"P15","Nunca lo votaría",0.395,0.541,0.52,0.664,0.394
"P15","No sabe",0.067,0.064,0.193,0.229,0.248
"P16","Lo votaría",0.224,0.179,0.079,0.045,0.055
"P16","Puede que lo vote",0.107,0.124,0.074,0.04,0.09
"P16","Nunca lo votaría",0.57,0.62,0.627,0.699,0.538
"P16","No sabe",0.099,0.077,0.22,0.216,0.317
"P17","Lo votaría",0.179,0.206,0.13,0.179,0.118
"P17","Puede que lo vote",0.141,0.195,0.182,0.14,0.075
"P17","Nunca lo votaría",0.627,0.507,0.528,0.488,0.426
"P17","No sabe",0.053,0.092,0.16,0.193,0.381
"P18","Lo votaría",0.117,0.146,0.069,0.124,0.187
"P18","Puede que lo vote",0.148,0.17,0.186,0.169,0.062
"P18","Nunca lo votaría",0.666,0.618,0.578,0.48,0.393
"P18","No sabe",0.069,0.066,0.167,0.227,0.358
"P19","Lo votaría",0.18,0.269,0.217,0.337,0.08
"P19","Puede que lo vote",0.12,0.076,0.096,0.161,0.355
"P19","Nunca lo votaría",0.654,0.599,0.547,0.38,0.346
"P19","No sabe",0.046,0.056,0.14,0.122,0.219
"P20","Lo votaría",0.277,0.263,0.223,0.172,0.263
"P20","Puede que lo vote",0.115,0.123,0.13,0.043,0.062
"P20","Nunca lo votaría",0.524,0.582,0.446,0.568,0.587
"P20","No sabe",0.084,0.032,0.201,0.217,0.088
"P21","Lo votaría",0.347,0.17,0.209,0.132,0.096
"P21","Puede que lo vote",0.178,0.235,0.158,0.159,0.04
"P21","Nunca lo votaría",0.436,0.568,0.459,0.61,0.662
"P21","No sabe",0.039,0.027,0.174,0.099,0.202
"P22","Lo votaría",0.064,0.081,0.045,0.019,0
"P22","Puede que lo vote",0.087,0.057,0.066,0.006,0.056
"P22","Nunca lo votaría",0.761,0.782,0.73,0.753,0.72
"P22","No sabe",0.088,0.08,0.159,0.222,0.224
"P23","Lo votaría",0.177,0.217,0.175,0.198,0.382
"P23","Puede que lo vote",0.097,0.152,0.15,0.125,0.136
