"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","A.Kirchner","Belloni","Costa","Vidal","Peralta"
"Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.278,0.282,0.274,0.186,0.315,0.3,0.392,0.269,0.287,0.268,0.356,0.32,0.191,0.121,0.11
"Juan Grabois a presidente y Paula Abal Medina a vicepresidenta por Unión por la Patria",0.084,0.092,0.076,0.108,0.091,0.048,0.03,0.079,0.082,0.096,0.101,0.07,0.09,0.059,0.025
"Patricia Bullrich a presidenta y Luis Petri a vicepresidente por Juntos por el Cambio",0.146,0.141,0.15,0.161,0.094,0.216,0.2,0.115,0.133,0.216,0.15,0.153,0.176,0.107,0
"Horacio Rodríguez Larreta a presidente y Gerardo Morales a vicepresidente por Juntos por el Cambio",0.08,0.075,0.086,0.034,0.072,0.163,0.123,0.081,0.069,0.107,0.077,0.071,0.093,0.081,0.116
"Javier Milei a presidente y Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.224,0.26,0.186,0.298,0.24,0.117,0.085,0.258,0.228,0.167,0.176,0.213,0.252,0.348,0.209
"A los candidatos a presidente del Frente de Izquierda",0.026,0.021,0.031,0.019,0.03,0.037,0.011,0.028,0.021,0.036,0.018,0.016,0.048,0.045,0
"En blanco",0.049,0.044,0.055,0.071,0.046,0.015,0.059,0.056,0.053,0.033,0.036,0.048,0.045,0.097,0.04
"No sabe",0.113,0.085,0.142,0.123,0.112,0.104,0.1,0.114,0.127,0.077,0.086,0.109,0.105,0.142,0.5
