"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Llaryora","Juez","De Loredo","Quinteros"
"A Rodrigo De Loredo por Juntos por el Cambio",0.4,0.375,0.424,0.304,0.369,0.442,0.563,0.321,0.427,0.416,0.117,0.577,0.333,0.309,0.68,0.64,0.224
"A Daniel Passerini por Hacemos por Cordoba",0.29,0.284,0.295,0.402,0.278,0.242,0.219,0.339,0.264,0.288,0.485,0.216,0.277,0.484,0.151,0.073,0.123
"Al candidato del frente de todos",0.103,0.11,0.097,0.098,0.096,0.123,0.102,0.144,0.087,0.097,0.211,0.059,0.022,0.079,0.024,0.151,0.033
"Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.055,0.074,0.037,0.049,0.071,0.051,0.028,0.078,0.044,0.053,0.035,0.045,0.125,0.035,0.036,0.063,0.086
"A  Juan Pablo Quinteros por Encuentro Vecinal",0.045,0.055,0.036,0.074,0.032,0.051,0.03,0.02,0.068,0.038,0.02,0.034,0.09,0.031,0.054,0.013,0.417
"Al candidato del frente de izquierda",0.032,0.04,0.024,0.049,0.038,0.016,0.013,0.009,0.051,0.026,0.062,0.006,0,0.01,0.009,0,0.024
"Votaría en blanco",0.015,0.018,0.013,0,0.02,0.022,0.017,0.021,0.011,0.017,0.021,0.01,0.056,0.013,0.008,0.003,0
"No sabe",0.06,0.044,0.074,0.024,0.096,0.053,0.028,0.068,0.048,0.065,0.049,0.053,0.097,0.039,0.038,0.057,0.093
