"var","categoria","A Luis Juez por Juntos por el Cambio","A Daniel Passerini por Hacemos por Cordoba","Al candidato del frente de todos","Al candidato de los liberales libertarios con el apoyo de Javier Milei","A  Juan Pablo Quinteros por Encuentro Vecinal","Al candidato del frente de izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.087,0.498,0.854,0.034,0.09,0.193,0.296,0.104
"P07","De Cambiemos",0.597,0.233,0.072,0.134,0.343,0.025,0.408,0.262
"P07","De los Liberales libertarios",0.221,0.104,0.023,0.696,0.149,0.037,0.1,0.255
"P07","De la Izquierda",0.011,0.02,0.031,0.053,0.027,0.537,0.016,0.021
"P07","Otros",0.048,0.066,0.006,0.01,0.197,0.2,0.014,0.08
"P07","No sabe",0.036,0.079,0.014,0.073,0.194,0.008,0.166,0.278
"P08","A Alberto Fernández",0.346,0.078,0.096,0.825,0.23,0.191,0.265,0.143
"P08","A Sergio Massa",0.281,0.18,0.07,0,0.422,0.3,0.199,0.207
"P08","A algún candidato del peronismo",0.22,0.346,0.056,0.175,0,0.28,0.127,0.218
"P08","A algún candidato del kirchnerismo",0.153,0.396,0.778,0,0.348,0.229,0.409,0.432
"P09","A Alberto Fernández",0.127,0.031,0.053,0.65,0.23,0.191,0,0.193
"P09","A Sergio Massa",0.145,0.132,0.036,0,0,0.059,0,0.086
"P09","A algún candidato del peronismo",0.24,0.266,0.013,0.175,0.178,0.221,0.127,0.218
"P09","A Cristina Fernández de Kirchner",0.488,0.571,0.898,0.175,0.592,0.529,0.873,0.503
"P10","A Horacio Rodriguez Larreta",0.202,0.271,0.56,0.075,0.183,0,0.172,0.179
"P10","A Mauricio Macri",0.288,0.263,0.367,0.242,0.285,0,0.111,0.165
"P10","A Patricia Bullrich",0.461,0.39,0.073,0.62,0.374,0,0.571,0.484
"P10","A Facundo Manes",0.028,0.076,0,0,0.055,0.684,0,0.045
"P10","A Gerardo Morales",0.021,0,0,0.063,0.103,0.316,0.146,0.127
"P11","A Juntos por el Cambio",0.639,0.151,0.083,0.158,0.212,0.053,0.412,0.295
"P11","Al Frente de Todos",0.086,0.139,0.717,0.004,0.034,0.083,0.122,0.034
"P11","A Hacemos por Córdoba",0.124,0.596,0.044,0.151,0.089,0.05,0.118,0.158
"P11","A los liberales libertarios de Milei",0.088,0.035,0.087,0.541,0.074,0.034,0,0.099
"P11","A Encuentro Vecinal Córdoba",0.007,0.019,0,0.007,0.376,0,0.034,0.046
"P11","Al Frente de Izquierda",0.02,0.02,0.007,0.006,0.051,0.772,0.035,0.034
"P11","No sabe",0.036,0.04,0.062,0.133,0.164,0.008,0.279,0.334
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.585,0.582,1,0.69,0.514,0.516,0.359,0.663
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.383,0.125,0,0.31,0.386,0.242,0.363,0.181
"P12","No sabe",0.032,0.293,0,0,0.1,0.242,0.278,0.156
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.685,0.118,0.115,0.187,0.246,0.049,0.262,0.362
"P13","A Martín Llaryora por Hacemos por Córdoba",0.111,0.764,0.11,0.173,0.129,0.234,0.114,0.176
"P13","Al candidato del Frente de Todos",0.039,0.055,0.759,0.015,0.026,0.041,0.069,0.023
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.08,0.009,0,0.513,0.022,0.014,0.057,0
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.024,0.017,0,0.044,0.32,0.009,0.034,0.033
"P13","Al candidato del Frente de Izquierda",0.004,0.014,0.011,0.011,0.105,0.562,0,0.036
"P13","Votaría en blanco",0.022,0.008,0,0.038,0.095,0.036,0.302,0.006
"P13","No sabe",0.035,0.015,0.005,0.019,0.057,0.055,0.162,0.364
"P15","A Luis Juez por Juntos por el Cambio",0.733,0.134,0.056,0.138,0.241,0.086,0.231,0.265
"P15","A Martín Llaryora por Hacemos por Córdoba",0.165,0.747,0.135,0.18,0.146,0.248,0.118,0.162
"P15","Al candidato del Frente de Todos",0,0.044,0.788,0.015,0.026,0.04,0.04,0.018
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.059,0.023,0,0.601,0.013,0,0,0.08
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.02,0.016,0,0.019,0.375,0,0.087,0.082
"P15","Al candidato del Frente de Izquierda",0,0.01,0.011,0.014,0.106,0.543,0,0.051
"P15","Votaría en blanco",0.006,0.005,0.005,0.014,0.016,0.036,0.409,0.012
"P15","No sabe",0.017,0.021,0.005,0.019,0.077,0.047,0.115,0.33
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.784,0.11,0.083,0.189,0.317,0.128,0.307,0.382
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.113,0.683,0.089,0.08,0.084,0.075,0.158,0.194
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.006,0.065,0.796,0.008,0.026,0.04,0.026,0.018
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.057,0.019,0,0.576,0.027,0,0,0.008
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.006,0.024,0,0.01,0.454,0,0.073,0.031
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0,0.02,0.02,0.006,0,0.575,0,0.037
"P17","Votaría en blanco",0.008,0.014,0,0.099,0.011,0.182,0.271,0
"P17","No sabe",0.026,0.065,0.012,0.032,0.081,0,0.165,0.33
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.709,0.113,0.081,0.153,0.351,0.06,0.194,0.262
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.101,0.688,0.11,0.081,0.082,0.087,0.14,0.188
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.024,0.063,0.782,0.014,0.026,0.041,0.026,0.018
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.089,0.013,0.01,0.56,0.04,0,0.075,0.08
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.013,0.019,0,0.014,0.443,0.014,0.05,0.042
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.026,0.005,0.006,0.01,0.607,0,0.047
"P18","Votaría en blanco",0.017,0.014,0,0.041,0.016,0.036,0.395,0
"P18","No sabe",0.046,0.064,0.012,0.131,0.032,0.155,0.12,0.363
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.773,0.096,0.085,0.185,0.281,0.058,0.226,0.325
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.095,0.701,0.114,0.059,0.079,0.095,0.125,0.148
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.011,0.068,0.766,0,0.012,0.062,0.107,0.01
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.063,0.029,0.014,0.603,0.031,0,0,0.098
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.007,0.016,0,0.006,0.465,0.014,0.073,0.012
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.006,0.01,0.005,0.006,0.023,0.588,0,0.037
"P19","Votaría en blanco",0.02,0.025,0.01,0.025,0.06,0.036,0.427,0.01
"P19","No sabe",0.025,0.055,0.006,0.116,0.049,0.147,0.042,0.36
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.743,0.133,0.075,0.182,0.329,0.045,0.19,0.187
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.082,0.687,0.169,0.051,0.087,0.095,0.192,0.162
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.013,0.057,0.75,0.004,0.012,0.062,0.026,0.016
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.073,0.017,0,0.584,0.024,0,0.05,0.16
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.016,0.014,0,0.012,0.442,0.014,0.032,0.021
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.016,0.006,0,0.007,0.601,0,0.026
"P20","Votaría en blanco",0.03,0.022,0,0.041,0.043,0.036,0.421,0.021
"P20","No sabe",0.042,0.054,0,0.126,0.056,0.147,0.089,0.407
"P21","Lo votaría",0.55,0.182,0.09,0.147,0.331,0.106,0.202,0.268
"P21","Puede que lo vote",0.294,0.145,0.051,0.353,0.274,0.157,0.151,0.242
"P21","Nunca lo votaría",0.156,0.671,0.849,0.43,0.395,0.737,0.647,0.49
"P21","No sabe",0,0.002,0.01,0.07,0,0,0,0
"P22","Lo votaría",0.139,0.629,0.153,0.076,0.129,0.049,0.187,0.156
"P22","Puede que lo vote",0.182,0.187,0.31,0.269,0.245,0.274,0.231,0.2
"P22","Nunca lo votaría",0.679,0.182,0.527,0.585,0.626,0.677,0.582,0.644
"P22","No sabe",0,0.002,0.01,0.07,0,0,0,0
"P23","Lo votaría",0.601,0.153,0.041,0.129,0.284,0.051,0.189,0.113
"P23","Puede que lo vote",0.236,0.099,0.114,0.195,0.136,0.04,0.117,0.246
"P23","Nunca lo votaría",0.163,0.746,0.835,0.59,0.58,0.909,0.694,0.641
"P23","No sabe",0,0.002,0.01,0.086,0,0,0,0
