"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P09","A Alberto Fernández",0.281,0.087,0.008,0.027
"P09","A Sergio Massa",0.098,0.593,0.009,0.008
"P09","A algún candidato del peronismo",0.132,0.048,0.707,0.015
"P09","A Cristina Fernández de Kirchner",0.489,0.272,0.276,0.95
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.178,0.027,0.13,0.004
"P13","A Martín Llaryora por Hacemos por Córdoba",0.513,0.628,0.667,0.427
"P13","Al candidato del Frente de Todos",0.176,0.275,0.119,0.466
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.028,0.006,0.024,0.002
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.005,0.01,0.011,0.002
"P13","Al candidato del Frente de Izquierda",0.042,0.024,0.007,0.041
"P13","Votaría en blanco",0.013,0.009,0.014,0.013
"P13","No sabe",0.045,0.021,0.028,0.045
"P15","A Luis Juez por Juntos por el Cambio",0.329,0.051,0.238,0.02
"P15","A Martín Llaryora por Hacemos por Córdoba",0.382,0.605,0.593,0.437
"P15","Al candidato del Frente de Todos",0.189,0.257,0.099,0.447
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.012,0.022,0.015,0.005
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0,0.011,0.016,0.002
"P15","Al candidato del Frente de Izquierda",0.031,0.024,0.012,0.041
"P15","Votaría en blanco",0.026,0.014,0.008,0.011
"P15","No sabe",0.031,0.016,0.019,0.037
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.195,0.082,0.175,0.003
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.501,0.484,0.584,0.383
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.193,0.288,0.136,0.494
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.007,0.027,0.01,0
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0,0.025,0.019,0.005
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.046,0.019,0.011,0.048
"P17","Votaría en blanco",0.014,0.033,0.028,0.023
"P17","No sabe",0.044,0.042,0.037,0.044
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.05,0.035,0.114,0.006
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.635,0.537,0.643,0.386
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.201,0.312,0.11,0.499
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.03,0.023,0.015,0
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0,0.023,0.023,0.003
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.04,0.02,0.017,0.04
"P18","Votaría en blanco",0.014,0.025,0.014,0.021
"P18","No sabe",0.03,0.025,0.064,0.045
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.05,0.091,0.136,0
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.679,0.481,0.678,0.429
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.192,0.293,0.074,0.476
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.032,0.01,0.015,0.008
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0,0.02,0.006,0.005
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.012,0.039,0.005,0.032
"P19","Votaría en blanco",0.023,0.022,0.031,0.021
"P19","No sabe",0.012,0.044,0.055,0.029
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.189,0.055,0.138,0.005
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.549,0.587,0.694,0.458
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.214,0.246,0.068,0.454
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0,0,0.027,0
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0,0.023,0.013,0.003
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.012,0.023,0.009,0.037
"P20","Votaría en blanco",0.025,0.021,0.021,0.017
"P20","No sabe",0.011,0.045,0.03,0.026
"P21","Lo votaría",0.198,0.12,0.136,0.053
"P21","Puede que lo vote",0.145,0.095,0.131,0.04
"P21","Nunca lo votaría",0.657,0.774,0.722,0.897
"P21","No sabe",0,0.011,0.011,0.01
"P22","Lo votaría",0.44,0.658,0.722,0.361
"P22","Puede que lo vote",0.411,0.156,0.109,0.282
"P22","Nunca lo votaría",0.149,0.175,0.157,0.347
"P22","No sabe",0,0.011,0.012,0.01
"P23","Lo votaría",0.116,0.178,0.294,0.052
"P23","Puede que lo vote",0.152,0.093,0.059,0.068
"P23","Nunca lo votaría",0.711,0.723,0.635,0.867
"P23","No sabe",0.021,0.006,0.012,0.013
"P24","Lo votaría",0.222,0.307,0.136,0.425
"P24","Puede que lo vote",0.177,0.205,0.24,0.327
"P24","Nunca lo votaría",0.601,0.488,0.624,0.248
"P24","No sabe",0,0,0,0
"P25","Muy buena",0.025,0.121,0.066,0.021
"P25","Buena",0.145,0.188,0.104,0.041
"P25","Ni buena ni mala",0.433,0.198,0.419,0.14
"P25","Mala",0.103,0.216,0.105,0.331
"P25","Muy mala",0.257,0.247,0.196,0.467
"P25","No sabe",0.037,0.03,0.11,0
"P26","Muy buena",0.054,0.048,0.151,0
"P26","Buena",0.087,0.106,0.028,0.034
"P26","Ni buena ni mala",0.176,0.089,0.208,0.078
"P26","Mala",0.317,0.28,0.153,0.174
"P26","Muy mala",0.356,0.459,0.419,0.677
"P26","No sabe",0.01,0.018,0.041,0.037
"P27","Muy buena",0.35,0.507,0.487,0.197
"P27","Buena",0.293,0.257,0.164,0.398
"P27","Ni buena ni mala",0.157,0.099,0.186,0.15
"P27","Mala",0.09,0.077,0.062,0.144
"P27","Muy mala",0.11,0.042,0.04,0.106
"P27","No sabe",0,0.018,0.061,0.005
"P28","Muy buena",0.093,0.105,0.074,0.031
"P28","Buena",0.08,0.074,0.117,0.083
"P28","Ni buena ni mala",0.382,0.379,0.545,0.268
"P28","Mala",0.247,0.193,0.073,0.123
"P28","Muy mala",0.113,0.17,0.083,0.378
"P28","No sabe",0.085,0.079,0.108,0.117
"P29","Muy buena",0.255,0.183,0,0.046
"P29","Buena",0.251,0.239,0.309,0.453
"P29","Ni buena ni mala",0.136,0.192,0.38,0.257
"P29","Mala",0.237,0.243,0.093,0.168
"P29","Muy mala",0.121,0.125,0.193,0.071
"P29","No sabe",0,0.018,0.025,0.005
"P30","Muy buena",0.357,0.548,0.289,0.855
"P30","Buena",0.304,0.251,0.257,0.099
"P30","Ni buena ni mala",0.134,0.102,0.172,0.026
"P30","Mala",0.055,0.057,0.035,0.012
"P30","Muy mala",0.15,0.033,0.225,0.008
"P30","No sabe",0,0.009,0.022,0
"P31","Muy buena",0.047,0.061,0.142,0.029
"P31","Buena",0.187,0.083,0.035,0
"P31","Ni buena ni mala",0.112,0.051,0.168,0
"P31","Mala",0.083,0.205,0.138,0.155
"P31","Muy mala",0.543,0.6,0.497,0.81
"P31","No sabe",0.028,0,0.02,0.006
"P32","Muy buena",0.025,0.042,0.032,0
"P32","Buena",0.053,0.1,0.147,0.006
"P32","Ni buena ni mala",0.157,0.134,0.242,0.036
"P32","Mala",0.108,0.232,0.189,0.235
"P32","Muy mala",0.576,0.473,0.355,0.719
"P32","No sabe",0.081,0.019,0.035,0.004
"P33","Muy buena",0.275,0.299,0.02,0.049
"P33","Buena",0.135,0.328,0.474,0.365
"P33","Ni buena ni mala",0.278,0.139,0.309,0.348
"P33","Mala",0.157,0.076,0.11,0.143
"P33","Muy mala",0.113,0.158,0.062,0.095
"P33","No sabe",0.042,0,0.025,0
"P34","Muy buena",0.225,0.05,0.173,0.002
"P34","Buena",0.088,0.127,0.029,0.02
"P34","Ni buena ni mala",0.057,0.07,0.141,0.025
"P34","Mala",0.127,0.124,0.14,0.151
"P34","Muy mala",0.503,0.609,0.517,0.802
"P34","No sabe",0,0.02,0,0
"P35","Muy buena",0.425,0.234,0.374,0.097
"P35","Buena",0.199,0.397,0.225,0.074
"P35","Ni buena ni mala",0.097,0.068,0.246,0.194
"P35","Mala",0.114,0.202,0.055,0.301
"P35","Muy mala",0.158,0.099,0.1,0.334
"P35","No sabe",0.007,0,0,0
"P36","Muy buena",0.088,0.05,0.034,0.003
"P36","Buena",0.053,0.101,0.029,0.014
"P36","Ni buena ni mala",0.19,0.139,0.318,0.068
"P36","Mala",0.037,0.084,0.191,0.137
"P36","Muy mala",0.612,0.616,0.412,0.778
"P36","No sabe",0.02,0.01,0.016,0
"P37","Muy buena",0.039,0.036,0.101,0
"P37","Buena",0.108,0.098,0.019,0.01
"P37","Ni buena ni mala",0.353,0.356,0.408,0.178
"P37","Mala",0.294,0.288,0.099,0.309
"P37","Muy mala",0.172,0.192,0.245,0.442
"P37","No sabe",0.034,0.03,0.128,0.061
"P38","Muy buena",0.036,0.077,0.077,0
"P38","Buena",0.082,0.104,0.046,0.002
"P38","Ni buena ni mala",0.286,0.349,0.344,0.157
"P38","Mala",0.261,0.189,0.103,0.177
"P38","Muy mala",0.228,0.245,0.209,0.606
"P38","No sabe",0.107,0.036,0.221,0.058
"P39","Muy buena",0.072,0.098,0.117,0.018
"P39","Buena",0.108,0.127,0.057,0.034
"P39","Ni buena ni mala",0.373,0.322,0.421,0.337
"P39","Mala",0.195,0.146,0.07,0.159
"P39","Muy mala",0.15,0.269,0.183,0.344
"P39","No sabe",0.102,0.038,0.152,0.108
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.187,0.099,0.243,0.026
"P42","A Daniel Passerini por Hacemos por Cordoba",0.484,0.623,0.64,0.438
"P42","Al candidato del frente de todos",0.218,0.158,0.054,0.46
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0,0,0,0.004
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.031,0.032,0.009,0.023
"P42","Al candidato del frente de izquierda",0.021,0.051,0.023,0.011
"P42","Votaría en blanco",0.059,0,0.011,0.014
"P42","No sabe",0,0.037,0.02,0.024
"P44","A Luis Juez por Juntos por el Cambio",0.268,0.161,0.087,0.032
"P44","A Daniel Passerini por Hacemos por Cordoba",0.346,0.589,0.786,0.475
"P44","Al candidato del frente de todos",0.194,0.104,0.058,0.425
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.044,0,0.005,0
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.032,0.043,0,0.013
"P44","Al candidato del frente de izquierda",0.043,0.049,0.032,0.014
"P44","Votaría en blanco",0.047,0.026,0.011,0.02
"P44","No sabe",0.026,0.028,0.021,0.021
"P46","Lo votaría",0.169,0.081,0.274,0.007
"P46","Puede que lo vote",0.121,0.101,0.074,0.058
"P46","Nunca lo votaría",0.697,0.818,0.652,0.935
"P46","No sabe",0.013,0,0,0
"P47","Lo votaría",0.339,0.636,0.806,0.358
"P47","Puede que lo vote",0.226,0.111,0.05,0.308
"P47","Nunca lo votaría",0.435,0.253,0.144,0.334
"P47","No sabe",0,0,0,0
"P48","Lo votaría",0.106,0.306,0.192,0.02
"P48","Puede que lo vote",0.118,0.054,0.118,0.088
"P48","Nunca lo votaría",0.776,0.64,0.69,0.892
"P48","No sabe",0,0,0,0
"P49","Lo votaría",0.059,0.101,0.107,0.024
"P49","Puede que lo vote",0.229,0.15,0.206,0.221
"P49","Nunca lo votaría",0.712,0.749,0.659,0.702
"P49","No sabe",0,0,0.028,0.053
"P50","Lo votaría",0.265,0.411,0.04,0.246
"P50","Puede que lo vote",0.4,0.342,0.481,0.283
"P50","Nunca lo votaría",0.335,0.247,0.479,0.419
"P50","No sabe",0,0,0,0.052
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.109,0.039,0.168,0.015
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.632,0.575,0.716,0.487
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.185,0.337,0.05,0.445
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.041,0,0,0
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.013,0,0,0.008
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0,0.031,0.033,0.014
"P51","Votaría en blanco",0,0,0.021,0.017
"P51","No sabe",0.02,0.018,0.012,0.014
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.12,0.02,0.16,0.022
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.619,0.576,0.689,0.48
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.2,0.316,0.059,0.445
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0,0,0,0
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0,0.039,0.006,0.015
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0,0.031,0.011,0.014
"P52","Votaría en blanco",0,0,0.022,0.011
"P52","No sabe",0.061,0.018,0.053,0.013
