"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P07","Del Frente de Todos y el peronismo",0.085,0.142,0.488,0.269
"P07","De Cambiemos",0.605,0.379,0.142,0.154
"P07","De los Liberales libertarios",0.167,0.219,0.192,0.222
"P07","De la Izquierda",0.009,0.024,0.058,0.045
"P07","Otros",0.068,0.08,0.058,0.072
"P07","No sabe",0.066,0.156,0.062,0.238
"P08","A Alberto Fernández",0.12,0.168,0.122,0.434
"P08","A Sergio Massa",0.321,0.213,0.186,0.148
"P08","A algún candidato del peronismo",0.53,0.504,0.188,0.362
"P08","A algún candidato del kirchnerismo",0.029,0.115,0.504,0.056
"P09","A Alberto Fernández",0.255,0.171,0.04,0.148
"P09","A Sergio Massa",0.113,0.136,0.113,0
"P09","A algún candidato del peronismo",0.569,0.253,0.156,0.217
"P09","A Cristina Fernández de Kirchner",0.063,0.44,0.691,0.635
"P10","A Horacio Rodriguez Larreta",0.285,0.122,0.151,0.334
"P10","A Mauricio Macri",0.285,0.419,0.174,0.395
"P10","A Patricia Bullrich",0.384,0.41,0.509,0.177
"P10","A Facundo Manes",0.024,0.013,0.098,0
"P10","A Gerardo Morales",0.022,0.036,0.068,0.094
"P11","A Juntos por el Cambio",0.573,0.322,0.117,0.137
"P11","Al Frente de Todos",0.109,0.079,0.219,0.032
"P11","A Hacemos por Córdoba",0.15,0.302,0.318,0.264
"P11","A los liberales libertarios de Milei",0.062,0.121,0.162,0.192
"P11","A Encuentro Vecinal Córdoba",0.032,0.039,0.036,0.024
"P11","Al Frente de Izquierda",0.023,0.039,0.077,0.018
"P11","No sabe",0.051,0.098,0.071,0.333
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.608,0.644,0.619,0.322
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.338,0.246,0.252,0.391
"P12","No sabe",0.054,0.11,0.129,0.287
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.617,0.334,0.161,0.1
"P13","A Martín Llaryora por Hacemos por Córdoba",0.191,0.336,0.392,0.544
"P13","Al candidato del Frente de Todos",0.023,0.039,0.181,0.034
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.052,0.107,0.111,0.186
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.045,0.061,0.025,0
"P13","Al candidato del Frente de Izquierda",0.005,0.008,0.067,0.01
"P13","Votaría en blanco",0.018,0.041,0.024,0.026
"P13","No sabe",0.049,0.074,0.039,0.1
"P15","A Luis Juez por Juntos por el Cambio",0.562,0.334,0.151,0.19
"P15","A Martín Llaryora por Hacemos por Córdoba",0.277,0.36,0.388,0.418
"P15","Al candidato del Frente de Todos",0.009,0.042,0.165,0.06
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.061,0.114,0.133,0.171
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.033,0.067,0.027,0.024
"P15","Al candidato del Frente de Izquierda",0.007,0.004,0.065,0.01
"P15","Votaría en blanco",0.017,0.007,0.025,0.026
"P15","No sabe",0.034,0.072,0.046,0.101
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.67,0.386,0.162,0.151
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.183,0.285,0.332,0.437
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.004,0.032,0.187,0.097
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.046,0.135,0.119,0.17
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.042,0.053,0.035,0.024
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.002,0.004,0.063,0.01
"P17","Votaría en blanco",0.009,0.016,0.047,0.026
"P17","No sabe",0.044,0.089,0.055,0.085
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.592,0.391,0.139,0.146
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.212,0.24,0.355,0.439
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.005,0.036,0.194,0.097
