"var","categoria","A Luis Juez por Juntos por el Cambio","A Martín Llaryora por Hacemos por Córdoba","Al candidato del Frente de Todos","Al candidato de los liberales libertarios con el apoyo de Javier Milei","A Aurelio García Elorrio por Encuentro Vecinal Córdoba","Al candidato del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.09,0.339,0.861,0.028,0.046,0.221,0.171,0.075
"P07","De Cambiemos",0.594,0.299,0.037,0.087,0.289,0.115,0.222,0.225
"P07","De los Liberales libertarios",0.174,0.124,0.003,0.748,0.203,0.068,0.096,0.05
"P07","De la Izquierda",0.008,0.026,0.048,0.044,0.075,0.492,0.064,0.02
"P07","Otros",0.057,0.077,0.027,0.046,0.312,0.053,0.095,0.104
"P07","No sabe",0.077,0.135,0.024,0.047,0.075,0.051,0.352,0.526
"P08","A Alberto Fernández",0.365,0.108,0.097,0.141,0,0.156,0.281,0.165
"P08","A Sergio Massa",0.08,0.241,0.186,0.364,0.296,0.173,0.212,0.12
"P08","A algún candidato del peronismo",0.495,0.315,0.095,0.345,0.574,0.117,0.166,0.188
"P08","A algún candidato del kirchnerismo",0.06,0.336,0.622,0.15,0.13,0.554,0.341,0.527
"P09","A Alberto Fernández",0.115,0.087,0.039,0.08,0,0.08,0,0.048
"P09","A Sergio Massa",0.185,0.139,0.151,0,0,0.047,0,0.12
"P09","A algún candidato del peronismo",0.621,0.212,0.004,0.345,0.508,0.123,0.305,0.209
"P09","A Cristina Fernández de Kirchner",0.079,0.562,0.806,0.575,0.492,0.75,0.695,0.623
"P10","A Horacio Rodriguez Larreta",0.186,0.248,0.393,0.135,0.184,0.259,0.199,0.182
"P10","A Mauricio Macri",0.317,0.332,0.399,0.37,0.141,0,0.143,0.2
"P10","A Patricia Bullrich",0.417,0.348,0.074,0.459,0.575,0.061,0.171,0.514
"P10","A Facundo Manes",0.034,0.044,0.134,0,0.081,0.058,0.319,0.02
"P10","A Gerardo Morales",0.046,0.028,0,0.036,0.019,0.622,0.168,0.084
"P11","A Juntos por el Cambio",0.639,0.167,0.035,0.078,0.217,0.018,0.175,0.147
"P11","Al Frente de Todos",0.053,0.139,0.782,0.017,0.034,0.025,0.094,0.035
"P11","A Hacemos por Córdoba",0.108,0.526,0.037,0.144,0.047,0,0,0.099
"P11","A los liberales libertarios de Milei",0.073,0.042,0.064,0.696,0.117,0.097,0.033,0.058
"P11","A Encuentro Vecinal Córdoba",0.022,0.013,0.008,0.008,0.458,0.079,0.067,0.02
"P11","Al Frente de Izquierda",0.018,0.023,0.02,0.024,0.006,0.71,0.042,0.115
"P11","No sabe",0.087,0.09,0.054,0.033,0.121,0.071,0.589,0.526
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.571,0.641,0.824,0.982,0.815,0.515,0.652,0.58
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.38,0.095,0,0.018,0.088,0.485,0.092,0.048
"P12","No sabe",0.049,0.264,0.176,0,0.097,0,0.256,0.372
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.63,0.154,0.035,0.17,0.251,0.03,0.239,0.16
"P13","A Martín Llaryora por Hacemos por Córdoba",0.117,0.794,0.05,0.017,0.008,0,0.043,0.054
