"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Victoria Tolosa Paz para diputada nacional y Gisela Zamora para concejal por el frente de todos",0.361,0.329,0.393,0.294,0.39,0.359,0.383,0.34,0.418,0.301,0.651,0.047,0.17
"Santilli para diputado nacional y Segundo cernadas para concejal por Juntos",0.266,0.248,0.284,0.272,0.204,0.325,0.37,0.248,0.247,0.319,0.069,0.654,0.268
"Manes para diputado nacional y Nicolas massot para concejal por juntos",0.075,0.075,0.075,0.047,0.081,0.095,0.069,0.082,0.049,0.107,0.031,0.129,0.141
"Espert para diputado nacional y Juan José Cervetto para concejal por avanza libertad",0.055,0.078,0.031,0.109,0.054,0.02,0.021,0.017,0.057,0.097,0.034,0.061,0.137
"Espert para diputado nacional y Martin Liserre Moreno para concejal por Republicanos unidos",0.026,0.032,0.019,0.044,0.027,0.004,0.027,0.041,0.015,0.024,0.014,0.031,0.031
"Randazzo para diputado nacional y Matias Orfo para concejal por Vamos con vos",0.016,0.024,0.008,0.01,0.02,0.024,0,0.019,0.012,0.019,0.023,0.007,0.026
"Randazzo para diputado nacional y Oscar Hurtado para concejal por vamos con vos",0.003,0.004,0.002,0,0.003,0.002,0.009,0,0.003,0.006,0.004,0.003,0
"Guillermo Moreno para diputado nacional y Andrés “Pichon” Flores para concejal por principios y valores",0.039,0.051,0.027,0.033,0.042,0.045,0.028,0.065,0.033,0.015,0.052,0.009,0.026
"A los candidatos de la izquierda",0.016,0.019,0.014,0.023,0.018,0.015,0,0.017,0.014,0.019,0.007,0.002,0.01
"En blanco o anularía",0.078,0.071,0.086,0.142,0.076,0.043,0.036,0.085,0.104,0.029,0.047,0.018,0.101
"Cortaría Boleta",0.065,0.069,0.061,0.026,0.085,0.068,0.057,0.086,0.048,0.064,0.068,0.039,0.09
