"var","categoria","Victoria Tolosa Paz por el frente de todos","Santilli dentro de la interna de Juntos","Manes dentro de la interna de juntos","Espert por avanza libertad","Randazzo por Vamos con vos","Guillermo Moreno por principios y valores","A los candidatos de la izquierda","En blanco o anularía"
"P06","Julio Zamora",0.761,0,0.48,0,0.987,0.538,0.126,0.264
"P06","Segundo Cernadas",0.007,0.231,0,0.5,0.013,0,0,0.38
"P06","Otro candidato",0.162,0.769,0.52,0.5,0,0.462,0.126,0.003
"P06","En blanco",0.048,0,0,0,0,0,0,0.246
"P06","No sabe",0.022,0,0,0,0,0,0.748,0.107
"P09","Gisela Zamora por el frente de todos",0.816,0,0.482,0,0.508,0.304,0,0.31
"P09","Segundo cernadas dentro de la interna Juntos",0.006,0.269,0,0.5,0,0,0,0.292
"P09","Nicolas massot dentro de la interna por juntos",0,0.27,0.197,0,0,0,0,0
"P09","Juan José Cervetto dentro de la interna de avanza libertad",0,0,0,0.5,0,0,0,0
"P09","Martin Liserre Moreno por Republicanos unidos dentro de la interna de Avanza libertad",0,0,0,0,0.484,0.304,0,0
"P09","Matias Orfo dentro de la interna de vamos con vos",0.002,0,0,0,0.008,0,0,0
"P09","Oscar Hurtado dentro de la interna de vamos con vos",0,0,0,0,0,0,0.846,0
"P09","Andrés “Pichon” Flores por principios y valores",0.018,0,0,0,0,0.392,0,0
"P09","A los candidatos de la izquierda",0.007,0,0,0,0,0,0,0
"P09","En blanco o anularía",0.151,0.461,0.321,0,0,0,0.154,0.398
"P10","Si",0.989,0.458,0.503,1,1,1,0.093,0.451
"P10","Puede ser",0.003,0,0.497,0,0,0,0.814,0.197
"P10","No",0.008,0.542,0,0,0,0,0.093,0.352
"P11","Si",0.698,0.667,0.882,0.5,0.96,0.667,0,0.462
"P11","No",0.302,0.333,0.118,0.5,0.04,0.333,1,0.538
"P12","Muy buena",0.37,0,0,0,0.916,0.333,0,0.258
"P12","Buena",0.309,0,0.806,0,0,0,0,0
"P12","Ni buena ni mala",0.006,0.333,0.064,0,0,0.333,0,0.007
"P12","Mala",0.012,0.333,0.065,0,0,0,0.046,0.174
"P12","Muy mala",0.303,0.334,0.065,1,0.084,0,0.047,0.555
"P12","No sabe",0,0,0,0,0,0.334,0.907,0.006
"P13","Muy buena",0.364,0,0.806,0,0.916,0.667,0,0.258
"P13","Buena",0.309,0,0,0,0,0,0,0
"P13","Ni buena ni mala",0.018,0,0.065,0,0,0,0,0.006
"P13","Mala",0.006,0,0,0,0,0,0,0.168
"P13","Muy mala",0.303,1,0.129,1,0.084,0.333,1,0.562
"P13","No sabe",0,0,0,0,0,0,0,0.006
"P14","Muy buena",0.017,0,0,0,0.916,0,0,0
"P14","Buena",0.286,0,0,0,0,0,0,0
"P14","Ni buena ni mala",0.006,0.667,0.129,0,0.042,0.333,0,0.462
"P14","Mala",0.292,0.333,0,0.5,0,0,0.093,0.364
"P14","Muy mala",0.399,0,0.871,0.5,0.042,0.667,0.907,0.161
"P14","No sabe",0,0,0,0,0,0,0,0.013
"P15","Muy buena",0.006,0.333,0,0,0,0,0,0.335
"P15","Buena",0.011,0.667,0.065,0.5,0.042,0,0,0.037
"P15","Ni buena ni mala",0.309,0,0.064,0,0.042,0.667,0.093,0.258
"P15","Mala",0.292,0,0.806,0.5,0.916,0.333,0.907,0.357
"P15","Muy mala",0.376,0,0,0,0,0,0,0
"P15","No sabe",0.006,0,0.065,0,0,0,0,0.013
