"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.055,0.058,0.053,0.073,0.051,0.037,0.065,0.087,0.047,0.034,0.069,0.044,0.052,0.039,0.053,0.069,0.069,6
"Buena",0.115,0.101,0.128,0.113,0.107,0.138,0.103,0.127,0.109,0.11,0.183,0.069,0.137,0.105,0.145,0.106,0.111,6
"Ni buena ni mala",0.259,0.218,0.298,0.275,0.237,0.272,0.267,0.291,0.242,0.248,0.325,0.213,0.247,0.262,0.266,0.246,0.254,6
"Mala",0.249,0.266,0.234,0.18,0.233,0.287,0.335,0.196,0.26,0.292,0.214,0.305,0.23,0.253,0.233,0.24,0.255,6
"Muy mala",0.273,0.322,0.224,0.301,0.323,0.22,0.188,0.234,0.289,0.291,0.162,0.335,0.273,0.298,0.235,0.332,0.26,6
"No sabe",0.049,0.035,0.063,0.058,0.049,0.046,0.042,0.065,0.053,0.025,0.047,0.034,0.061,0.043,0.068,0.007,0.051,6
"Positiva",0.17,0.159,0.181,0.186,0.158,0.175,0.168,0.214,0.156,0.144,0.252,0.113,0.189,0.144,0.198,0.175,0.18,4
"Neutra",0.259,0.218,0.298,0.275,0.237,0.272,0.267,0.291,0.242,0.248,0.325,0.213,0.247,0.262,0.266,0.246,0.254,4
"Negativa",0.522,0.588,0.458,0.481,0.556,0.507,0.523,0.43,0.549,0.583,0.376,0.64,0.503,0.551,0.468,0.572,0.515,4
"No sabe",0.049,0.035,0.063,0.058,0.049,0.046,0.042,0.065,0.053,0.025,0.047,0.034,0.061,0.043,0.068,0.007,0.051,4
