"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.066,0.059,0.072,0.03,0.066,0.084,0.093,0.055,0.063,0.081,0.02,0.114,0.105,0.073,0.052,0.049,0.068,6
"Buena",0.146,0.138,0.153,0.098,0.11,0.196,0.229,0.124,0.134,0.187,0.083,0.219,0.198,0.146,0.127,0.114,0.158,6
"Ni buena ni mala",0.299,0.287,0.312,0.25,0.296,0.326,0.344,0.321,0.291,0.288,0.271,0.327,0.347,0.285,0.315,0.268,0.309,6
"Mala",0.171,0.191,0.152,0.131,0.195,0.175,0.17,0.167,0.17,0.179,0.25,0.105,0.114,0.165,0.187,0.245,0.159,6
"Muy mala",0.218,0.25,0.188,0.283,0.246,0.179,0.113,0.204,0.229,0.218,0.267,0.161,0.156,0.219,0.17,0.247,0.236,6
"No sabe",0.1,0.075,0.123,0.208,0.087,0.04,0.051,0.129,0.113,0.047,0.109,0.074,0.08,0.112,0.149,0.077,0.07,6
"Positiva",0.212,0.197,0.225,0.128,0.176,0.28,0.322,0.179,0.197,0.268,0.103,0.333,0.303,0.219,0.179,0.163,0.226,4
"Neutra",0.299,0.287,0.312,0.25,0.296,0.326,0.344,0.321,0.291,0.288,0.271,0.327,0.347,0.285,0.315,0.268,0.309,4
"Negativa",0.389,0.441,0.34,0.414,0.441,0.354,0.283,0.371,0.399,0.397,0.517,0.266,0.27,0.384,0.357,0.492,0.395,4
"No sabe",0.1,0.075,0.123,0.208,0.087,0.04,0.051,0.129,0.113,0.047,0.109,0.074,0.08,0.112,0.149,0.077,0.07,4
"Positiva",0.343,0.325,0.36,0.219,0.293,0.443,0.505,0.331,0.314,0.399,0.169,0.532,0.485,0.338,0.334,0.271,0.361,2
"Negativa",0.557,0.6,0.517,0.573,0.62,0.517,0.444,0.54,0.573,0.554,0.722,0.395,0.435,0.55,0.518,0.652,0.569,2
"No sabe",0.1,0.075,0.123,0.208,0.087,0.04,0.051,0.129,0.113,0.047,0.109,0.073,0.08,0.112,0.148,0.077,0.07,2
