"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P47","Mala",0.028,0.097,0.11,0.245,0.147
"P47","Muy mala",0.032,0.717,0.697,0.327,0.459
"P47","No sabe",0.002,0.006,0.012,0.036,0.047
"P48","Muy buena",0.026,0.357,0.105,0.09,0.097
"P48","Buena",0.016,0.274,0.18,0.062,0.094
"P48","Ni buena ni mala",0.095,0.214,0.331,0.226,0.27
"P48","Mala",0.278,0.083,0.157,0.294,0.229
"P48","Muy mala",0.579,0.069,0.221,0.309,0.258
"P48","No sabe",0.006,0.003,0.006,0.019,0.052
"P49","Muy buena",0.042,0.146,0.038,0.093,0.049
"P49","Buena",0.046,0.345,0.105,0.123,0.122
"P49","Ni buena ni mala",0.251,0.313,0.236,0.292,0.378
"P49","Mala",0.298,0.104,0.227,0.211,0.17
"P49","Muy mala",0.35,0.078,0.377,0.222,0.162
"P49","No sabe",0.013,0.014,0.017,0.059,0.119
"P50","Muy buena",0.151,0.048,0.015,0.054,0.035
"P50","Buena",0.3,0.059,0.052,0.093,0.076
"P50","Ni buena ni mala",0.377,0.11,0.127,0.219,0.306
"P50","Mala",0.11,0.201,0.177,0.349,0.175
"P50","Muy mala",0.048,0.573,0.603,0.245,0.328
"P50","No sabe",0.014,0.009,0.026,0.04,0.08
"P51","Muy buena",0.028,0.276,0.088,0.09,0.097
"P51","Buena",0.039,0.297,0.14,0.129,0.155
"P51","Ni buena ni mala",0.135,0.252,0.269,0.197,0.309
"P51","Mala",0.303,0.072,0.221,0.289,0.187
"P51","Muy mala",0.473,0.086,0.251,0.247,0.16
"P51","No sabe",0.022,0.017,0.031,0.048,0.092
"P52","Muy buena",0.512,0.037,0.044,0.087,0.04
"P52","Buena",0.228,0.027,0.038,0.153,0.076
"P52","Ni buena ni mala",0.152,0.098,0.095,0.188,0.247
"P52","Mala",0.049,0.133,0.12,0.274,0.141
"P52","Muy mala",0.036,0.691,0.682,0.243,0.397
"P52","No sabe",0.023,0.014,0.021,0.055,0.099
"P54","Muy buena",0.137,0.029,0.026,0.048,0.039
"P54","Buena",0.289,0.033,0.052,0.074,0.054
"P54","Ni buena ni mala",0.425,0.191,0.186,0.336,0.29
"P54","Mala",0.088,0.187,0.16,0.247,0.188
"P54","Muy mala",0.035,0.547,0.556,0.232,0.313
"P54","No sabe",0.026,0.013,0.02,0.063,0.116
"P57","Muy buena",0.031,0.088,0.571,0.095,0.069
"P57","Buena",0.035,0.169,0.2,0.099,0.094
"P57","Ni buena ni mala",0.117,0.383,0.094,0.198,0.314
"P57","Mala",0.206,0.17,0.043,0.212,0.161
"P57","Muy mala",0.582,0.166,0.069,0.351,0.254
"P57","No sabe",0.029,0.024,0.023,0.045,0.108
"P58","Muy buena",0.009,0.506,0.269,0.14,0.115
"P58","Buena",0.021,0.218,0.263,0.087,0.129
"P58","Ni buena ni mala",0.08,0.151,0.211,0.167,0.317
"P58","Mala",0.213,0.058,0.102,0.24,0.123
"P58","Muy mala",0.654,0.059,0.14,0.306,0.217
"P58","No sabe",0.023,0.008,0.015,0.06,0.099
"P59","Muy buena",0.028,0.16,0.107,0.115,0.082
"P59","Buena",0.084,0.227,0.123,0.14,0.126
"P59","Ni buena ni mala",0.354,0.396,0.313,0.277,0.372
"P59","Mala",0.189,0.096,0.146,0.142,0.072
"P59","Muy mala",0.207,0.076,0.194,0.147,0.118
"P59","No sabe",0.138,0.045,0.117,0.179,0.23
"P60","Muy buena",0.412,0.027,0.057,0.099,0.036
"P60","Buena",0.196,0.039,0.059,0.088,0.07
"P60","Ni buena ni mala",0.216,0.246,0.159,0.311,0.299
"P60","Mala",0.05,0.211,0.173,0.183,0.118
"P60","Muy mala",0.037,0.406,0.448,0.158,0.219
"P60","No sabe",0.089,0.071,0.104,0.161,0.258
"P61","Muy buena",0.335,0.032,0.037,0.097,0.026
"P61","Buena",0.269,0.02,0.047,0.073,0.042
"P61","Ni buena ni mala",0.264,0.067,0.045,0.179,0.164
"P61","Mala",0.053,0.125,0.11,0.219,0.156
"P61","Muy mala",0.042,0.739,0.721,0.356,0.485
"P61","No sabe",0.037,0.017,0.04,0.076,0.127
"P62","Muy buena",0.104,0.015,0.012,0.056,0.007
"P62","Buena",0.231,0.019,0.035,0.051,0.022
"P62","Ni buena ni mala",0.405,0.171,0.187,0.28,0.244
"P62","Mala",0.076,0.17,0.115,0.188,0.116
"P62","Muy mala",0.037,0.518,0.52,0.24,0.326
"P62","No sabe",0.147,0.107,0.131,0.185,0.285
"P63","Muy buena",0.02,0.14,0.041,0.084,0.041
"P63","Buena",0.036,0.242,0.094,0.057,0.099
"P63","Ni buena ni mala",0.134,0.326,0.236,0.226,0.324
"P63","Mala",0.276,0.123,0.198,0.224,0.146
"P63","Muy mala",0.48,0.138,0.388,0.288,0.251
"P63","No sabe",0.054,0.031,0.043,0.121,0.139
"P64","Muy buena",0.016,0.15,0.048,0.066,0.046
"P64","Buena",0.057,0.273,0.115,0.114,0.143
"P64","Ni buena ni mala",0.212,0.341,0.27,0.333,0.365
"P64","Mala",0.308,0.093,0.169,0.193,0.108
"P64","Muy mala",0.314,0.098,0.329,0.181,0.151
"P64","No sabe",0.093,0.045,0.069,0.113,0.187
"P65","Muy buena",0.005,0.108,0.043,0.049,0.04
"P65","Buena",0.029,0.23,0.09,0.085,0.09
"P65","Ni buena ni mala",0.22,0.38,0.296,0.335,0.357
"P65","Mala",0.224,0.097,0.14,0.163,0.102
"P65","Muy mala",0.368,0.094,0.314,0.202,0.13
"P65","No sabe",0.154,0.091,0.117,0.166,0.281
"P66","Muy buena",0.024,0.055,0.032,0.054,0.044
"P66","Buena",0.048,0.096,0.098,0.097,0.069
"P66","Ni buena ni mala",0.288,0.352,0.268,0.32,0.356
"P66","Mala",0.219,0.182,0.157,0.162,0.121
"P66","Muy mala",0.256,0.217,0.298,0.214,0.143
"P66","No sabe",0.165,0.098,0.147,0.153,0.267
"P67","Radio",0.168,0.201,0.104,0.184,0.134
"P67","Televisión",0.367,0.391,0.29,0.209,0.289
"P67","Diario",0.069,0.076,0.037,0.114,0.096
"P67","Medio digital",0.158,0.138,0.205,0.162,0.148
"P67","Redes Sociales",0.16,0.131,0.263,0.222,0.189
"P67","Ninguno en particular",0.072,0.06,0.095,0.109,0.135
"P67","No sabe",0.006,0.003,0.006,0,0.009
"P68","Muy buena",0.097,0.04,0.037,0.092,0.036
"P68","Buena",0.235,0.085,0.051,0.083,0.091
"P68","Ni buena ni mala",0.418,0.23,0.129,0.222,0.259
"P68","Mala",0.164,0.332,0.272,0.289,0.218
"P68","Muy mala",0.05,0.299,0.48,0.25,0.283
"P68","No sabe",0.036,0.014,0.031,0.064,0.113
"P69","Muy buena",0.048,0.066,0.04,0.05,0.036
"P69","Buena",0.049,0.17,0.08,0.052,0.069
"P69","Ni buena ni mala",0.152,0.306,0.21,0.224,0.263
"P69","Mala",0.227,0.249,0.242,0.273,0.205
"P69","Muy mala",0.499,0.192,0.41,0.368,0.34
"P69","No sabe",0.025,0.017,0.018,0.033,0.087
"P75","Mucho",0.506,0.366,0.343,0.368,0.256
"P75","Bastante",0.298,0.355,0.323,0.265,0.23
"P75","Poco",0.154,0.195,0.2,0.187,0.266
"P75","Nada",0.025,0.051,0.118,0.155,0.155
"P75","No sabe",0.017,0.033,0.016,0.025,0.093
"P76","Siempre",0.192,0.217,0.135,0.143,0.139
"P76","Casi siempre",0.312,0.315,0.247,0.266,0.229
"P76","Casi nunca",0.371,0.349,0.414,0.401,0.431
"P76","Nunca, pero esta es una excepción",0.125,0.119,0.204,0.19,0.201
"P77","Si",0.516,0.452,0.425,0.457,0.42
"P77","No",0.484,0.548,0.575,0.543,0.58
