"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Patricia Bullrich","Positiva",0.371,0.391,0.351,0.265,0.338,0.447,0.501,0.32,0.361,0.443,0.121,0.68,0.365,0.399,0.355,0.306,0.364
"Patricia Bullrich","Neutra",0.189,0.189,0.188,0.268,0.173,0.146,0.167,0.211,0.202,0.144,0.166,0.177,0.164,0.186,0.277,0.173,0.153
"Patricia Bullrich","Negativa",0.402,0.389,0.415,0.397,0.459,0.381,0.305,0.408,0.401,0.397,0.678,0.13,0.41,0.368,0.321,0.486,0.456
"Patricia Bullrich","No sabe",0.038,0.031,0.046,0.07,0.03,0.026,0.027,0.061,0.036,0.016,0.035,0.013,0.061,0.047,0.047,0.035,0.027
"CFK","Positiva",0.304,0.276,0.332,0.318,0.303,0.325,0.26,0.372,0.282,0.259,0.616,0.091,0.128,0.249,0.281,0.373,0.352
"CFK","Neutra",0.108,0.103,0.111,0.136,0.116,0.07,0.095,0.118,0.111,0.09,0.127,0.053,0.138,0.094,0.169,0.086,0.094
"CFK","Negativa",0.57,0.607,0.534,0.52,0.568,0.589,0.623,0.48,0.59,0.645,0.246,0.847,0.691,0.634,0.534,0.519,0.539
"CFK","No sabe",0.018,0.014,0.023,0.026,0.013,0.016,0.022,0.03,0.017,0.006,0.011,0.009,0.043,0.023,0.016,0.022,0.015
"Javier Milei","Positiva",0.298,0.381,0.216,0.364,0.307,0.27,0.214,0.317,0.301,0.269,0.168,0.393,0.312,0.324,0.308,0.234,0.279
"Javier Milei","Neutra",0.228,0.212,0.245,0.185,0.208,0.255,0.303,0.226,0.232,0.226,0.161,0.312,0.215,0.219,0.281,0.233,0.212
"Javier Milei","Negativa",0.427,0.375,0.478,0.393,0.439,0.446,0.428,0.392,0.415,0.488,0.624,0.267,0.366,0.407,0.361,0.499,0.466
"Javier Milei","No sabe",0.047,0.032,0.061,0.058,0.046,0.029,0.055,0.065,0.052,0.017,0.047,0.028,0.107,0.05,0.05,0.034,0.043
"Mauricio Macri","Positiva",0.279,0.271,0.287,0.208,0.231,0.327,0.438,0.246,0.266,0.339,0.087,0.56,0.235,0.301,0.256,0.244,0.277
"Mauricio Macri","Neutra",0.227,0.229,0.225,0.293,0.219,0.196,0.188,0.231,0.241,0.199,0.154,0.251,0.254,0.235,0.289,0.216,0.193
"Mauricio Macri","Negativa",0.476,0.484,0.469,0.469,0.536,0.468,0.356,0.493,0.479,0.454,0.754,0.174,0.479,0.439,0.441,0.515,0.518
"Mauricio Macri","No sabe",0.018,0.016,0.019,0.03,0.014,0.009,0.018,0.03,0.014,0.008,0.005,0.015,0.032,0.025,0.014,0.025,0.012
"Maria Eugenia Vidal","Positiva",0.278,0.261,0.295,0.175,0.232,0.353,0.443,0.249,0.273,0.322,0.118,0.503,0.277,0.294,0.265,0.227,0.279
"Maria Eugenia Vidal","Neutra",0.239,0.243,0.235,0.266,0.236,0.228,0.22,0.247,0.245,0.22,0.192,0.267,0.248,0.237,0.342,0.208,0.198
"Maria Eugenia Vidal","Negativa",0.441,0.465,0.418,0.478,0.496,0.401,0.308,0.44,0.441,0.44,0.653,0.203,0.409,0.401,0.352,0.506,0.505
"Maria Eugenia Vidal","No sabe",0.042,0.031,0.052,0.081,0.036,0.018,0.029,0.064,0.041,0.018,0.037,0.027,0.066,0.068,0.041,0.059,0.018
"Axel Kicillof","Positiva",0.251,0.233,0.266,0.236,0.236,0.298,0.241,0.268,0.243,0.238,0.499,0.066,0.171,0.18,0.198,0.3,0.326
"Axel Kicillof","Neutra",0.152,0.133,0.17,0.216,0.141,0.128,0.116,0.19,0.151,0.108,0.194,0.081,0.197,0.144,0.207,0.139,0.135
"Axel Kicillof","Negativa",0.556,0.598,0.518,0.481,0.579,0.561,0.611,0.47,0.57,0.641,0.266,0.828,0.563,0.615,0.535,0.512,0.524
"Axel Kicillof","No sabe",0.041,0.036,0.046,0.067,0.044,0.013,0.032,0.072,0.036,0.013,0.041,0.025,0.069,0.061,0.06,0.049,0.015
"Facundo Manes","Positiva",0.235,0.248,0.223,0.145,0.222,0.281,0.342,0.215,0.228,0.269,0.147,0.328,0.353,0.2,0.23,0.171,0.277
