"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.095,0.083,0.107,0.058,0.096,0.105,0.137,0.091,0.093,0.103,0.057,0.129,0.141,0.082,0.094,0.065,0.112,6
"Buena",0.14,0.165,0.116,0.087,0.126,0.176,0.205,0.124,0.135,0.166,0.09,0.199,0.212,0.118,0.136,0.106,0.165,6
"Ni buena ni mala",0.355,0.349,0.36,0.31,0.344,0.374,0.419,0.341,0.349,0.379,0.353,0.373,0.261,0.374,0.366,0.378,0.329,6
"Mala",0.126,0.135,0.118,0.111,0.143,0.141,0.09,0.135,0.112,0.138,0.158,0.1,0.131,0.112,0.099,0.128,0.151,6
"Muy mala",0.148,0.16,0.136,0.196,0.161,0.125,0.075,0.139,0.152,0.152,0.182,0.105,0.149,0.172,0.124,0.128,0.141,6
"No sabe",0.136,0.108,0.163,0.238,0.13,0.079,0.074,0.17,0.159,0.062,0.16,0.094,0.106,0.142,0.181,0.195,0.102,6
"Positiva",0.235,0.248,0.223,0.145,0.222,0.281,0.342,0.215,0.228,0.269,0.147,0.328,0.353,0.2,0.23,0.171,0.277,4
"Neutra",0.355,0.349,0.36,0.31,0.344,0.374,0.419,0.341,0.349,0.379,0.353,0.373,0.261,0.374,0.366,0.378,0.329,4
"Negativa",0.274,0.295,0.254,0.307,0.304,0.266,0.165,0.274,0.264,0.29,0.34,0.205,0.28,0.284,0.223,0.256,0.292,4
"No sabe",0.136,0.108,0.163,0.238,0.13,0.079,0.074,0.17,0.159,0.062,0.16,0.094,0.106,0.142,0.181,0.195,0.102,4
"Positiva",0.386,0.391,0.382,0.285,0.352,0.437,0.549,0.376,0.375,0.415,0.255,0.526,0.504,0.356,0.416,0.351,0.403,2
"Negativa",0.478,0.501,0.455,0.477,0.518,0.484,0.377,0.454,0.466,0.523,0.585,0.38,0.39,0.502,0.403,0.454,0.495,2
"No sabe",0.136,0.108,0.163,0.238,0.13,0.079,0.074,0.17,0.159,0.062,0.16,0.094,0.106,0.142,0.181,0.195,0.102,2
