"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.051,0.057,0.045,0.079,0.04,0.044,0.044,0.055,0.047,0.053,0.09,0.021,0.054,0.061,0.038,0.054,0.048,6
"Buena",0.107,0.102,0.111,0.098,0.094,0.135,0.113,0.098,0.115,0.105,0.232,0.014,0.053,0.093,0.095,0.148,0.117,6
"Ni buena ni mala",0.19,0.177,0.203,0.218,0.198,0.158,0.172,0.242,0.185,0.134,0.281,0.103,0.138,0.156,0.238,0.185,0.198,6
"Mala",0.218,0.205,0.229,0.175,0.234,0.213,0.253,0.23,0.207,0.219,0.178,0.241,0.3,0.202,0.252,0.195,0.219,6
"Muy mala",0.398,0.433,0.365,0.372,0.402,0.424,0.392,0.326,0.407,0.472,0.177,0.599,0.442,0.454,0.338,0.378,0.381,6
"No sabe",0.036,0.026,0.047,0.058,0.032,0.026,0.026,0.049,0.039,0.017,0.042,0.022,0.013,0.034,0.039,0.04,0.037,6
"Positiva",0.158,0.159,0.156,0.177,0.134,0.179,0.157,0.153,0.162,0.158,0.322,0.035,0.107,0.154,0.133,0.202,0.165,4
"Neutra",0.19,0.177,0.203,0.218,0.198,0.158,0.172,0.242,0.185,0.134,0.281,0.103,0.138,0.156,0.238,0.185,0.198,4
"Negativa",0.616,0.638,0.594,0.547,0.636,0.637,0.645,0.556,0.614,0.691,0.355,0.84,0.742,0.656,0.59,0.573,0.6,4
"No sabe",0.036,0.026,0.047,0.058,0.032,0.026,0.026,0.049,0.039,0.017,0.042,0.022,0.013,0.034,0.039,0.04,0.037,4
